""	"LMD_S14.vs.total_S14"
"AC177946.2_FG004"	0
"AC177946.2_FG006"	0
"AC177946.2_FG009"	0
"AC177947.2_FG003"	-1.25020625253684
"AC182101.3_FG001"	0
"AC182101.3_FG006"	0
"AC182105.3_FG001"	0
"AC182105.3_FG005"	0
"AC182105.3_FG006"	0
"AC182110.4_FG002"	0
"AC182413.4_FG002"	0
"AC182413.4_FG012"	0
"AC182414.3_FG001"	-2.96821153137695
"AC182414.3_FG003"	0
"AC182415.4_FG001"	0
"AC182417.4_FG004"	0
"AC182420.4_FG001"	0
"AC182439.4_FG004"	0
"AC182440.4_FG002"	0
"AC182440.4_FG003"	0
"AC182481.3_FG003"	0
"AC182482.3_FG003"	-2.44654833698176
"AC182603.4_FG003"	-3.23551271098974
"AC182606.4_FG001"	0
"AC182606.4_FG002"	0
"AC182608.4_FG001"	0
"AC182611.4_FG004"	0
"AC182615.4_FG001"	0
"AC182615.4_FG002"	0
"AC182615.4_FG003"	0
"AC182617.3_FG001"	-3.0132727341178
"AC182618.3_FG001"	0
"AC182622.3_FG004"	-0.512858319870544
"AC182622.3_FG005"	0
"AC182623.3_FG004"	0
"AC182627.2_FG003"	0
"AC182819.4_FG002"	0
"AC182819.4_FG003"	0
"AC182823.3_FG007"	0
"AC182824.4_FG001"	0
"AC182826.4_FG003"	0
"AC182830.3_FG003"	0
"AC182830.3_FG004"	0
"AC182831.3_FG004"	0
"AC182833.3_FG013"	0
"AC182833.3_FG014"	0
"AC182835.3_FG004"	0
"AC182838.3_FG006"	0
"AC183307.5_FG001"	-2.52739031571845
"AC183314.3_FG001"	0
"AC183314.3_FG007"	0
"AC183315.4_FG006"	-3.19634608037564
"AC183318.3_FG001"	-2.647164289731
"AC183319.3_FG001"	0.152396112895892
"AC183372.4_FG006"	0
"AC183372.4_FG008"	0
"AC183412.5_FG005"	-2.1850602131566
"AC183413.3_FG006"	0
"AC183503.2_FG001"	0
"AC183503.2_FG002"	0
"AC183503.2_FG003"	0
"AC183504.4_FG003"	-2.52738052275675
"AC183509.1_FG001"	3.51348752751797
"AC183509.1_FG002"	0
"AC183510.4_FG001"	0
"AC183511.4_FG003"	0
"AC183514.3_FG005"	0
"AC183514.3_FG006"	0
"AC183518.2_FG001"	-2.52885456172755
"AC183521.2_FG006"	-3.23527999150329
"AC183590.4_FG001"	0
"AC183590.4_FG003"	0
"AC183591.3_FG003"	0
"AC183656.2_FG005"	0
"AC183657.2_FG001"	0
"AC183659.4_FG005"	0
"AC183659.4_FG006"	0
"AC183661.3_FG004"	0
"AC183757.3_FG001"	0
"AC183758.4_FG005"	0
"AC183758.4_FG006"	0
"AC183758.4_FG007"	0
"AC183782.3_FG002"	0
"AC183783.4_FG004"	0
"AC183788.3_FG002"	0
"AC183811.3_FG003"	0
"AC183815.4_FG004"	0
"AC183817.2_FG002"	0
"AC183818.2_FG001"	0
"AC183820.4_FG002"	0
"AC183822.3_FG001"	-2.18543098880007
"AC183822.3_FG003"	0
"AC183823.3_FG006"	0
"AC183825.3_FG003"	0
"AC183888.4_FG006"	0
"AC183888.4_FG008"	0
"AC183895.3_FG001"	-2.18508231359405
"AC183895.3_FG003"	0
"AC183899.3_FG001"	-4.79669688940607
"AC183900.3_FG002"	0
"AC183901.2_FG010"	0
"AC183907.3_FG001"	0
"AC183907.3_FG003"	0
"AC183912.3_FG002"	0
"AC183914.3_FG002"	-2.52889980876837
"AC183914.3_FG004"	0
"AC183915.4_FG001"	0
"AC183915.4_FG002"	0
"AC183917.3_FG004"	0.957005759665931
"AC183926.3_FG003"	0
"AC183926.3_FG005"	0
"AC183927.3_FG003"	0
"AC183927.3_FG004"	-3.67908905888053
"AC183928.4_FG001"	0
"AC183928.4_FG006"	0
"AC183929.4_FG003"	0
"AC183932.3_FG004"	0
"AC183932.3_FG007"	-2.2707618439865
"AC183933.2_FG003"	0
"AC183938.4_FG004"	-4.52413759226408
"AC183938.4_FG011"	0
"AC183938.4_FG014"	0
"AC183939.3_FG003"	0
"AC183939.3_FG005"	0
"AC183943.3_FG001"	0
"AC183944.4_FG002"	0
"AC183944.4_FG003"	0
"AC183950.2_FG002"	0
"AC183950.2_FG003"	0
"AC183950.2_FG004"	1.48601137306557
"AC183950.2_FG005"	-5.92222521057305
"AC183956.3_FG002"	0
"AC183968.2_FG001"	0
"AC183969.3_FG001"	0
"AC183969.3_FG003"	0
"AC183969.3_FG008"	0
"AC183974.4_FG001"	0
"AC184048.4_FG002"	0
"AC184048.4_FG011"	0
"AC184048.4_FG013"	0
"AC184050.2_FG002"	0
"AC184050.2_FG004"	0
"AC184112.4_FG010"	0
"AC184113.4_FG001"	0
"AC184116.3_FG001"	1.64275181732124
"AC184119.3_FG004"	0
"AC184127.3_FG003"	-1.84117352446059
"AC184129.2_FG002"	0
"AC184130.4_FG001"	0
"AC184130.4_FG005"	0
"AC184130.4_FG012"	2.99161357395214
"AC184131.5_FG003"	0
"AC184131.5_FG010"	0
"AC184132.3_FG007"	0
"AC184133.3_FG001"	-0.68220132391287
"AC184133.3_FG004"	0
"AC184138.4_FG003"	0
"AC184164.2_FG004"	0
"AC184164.2_FG005"	0
"AC184164.2_FG006"	0
"AC184165.4_FG001"	0
"AC184168.3_FG004"	0
"AC184169.3_FG001"	-4.06850267784739
"AC184170.4_FG002"	-2.52739031571845
"AC184171.4_FG002"	0
"AC184171.4_FG003"	0
"AC184172.3_FG001"	0
"AC184172.3_FG004"	0
"AC184691.2_FG001"	0
"AC184694.3_FG007"	0
"AC184698.4_FG004"	0
"AC184699.3_FG005"	-2.00608162556116
"AC184700.4_FG003"	0
"AC184702.3_FG001"	0
"AC184703.5_FG001"	0
"AC184705.4_FG001"	0
"AC184706.2_FG001"	0
"AC184707.3_FG004"	0
"AC184764.3_FG003"	0
"AC184764.3_FG006"	0
"AC184765.4_FG004"	0
"AC184765.4_FG005"	-0.547524120025808
"AC184766.3_FG002"	0
"AC184768.3_FG001"	0
"AC184770.3_FG001"	-2.18578571685146
"AC184771.4_FG003"	0
"AC184772.3_FG001"	-2.52660418714925
"AC184774.4_FG002"	0
"AC184775.2_FG002"	0
"AC184776.3_FG003"	0
"AC184778.3_FG002"	0
"AC184780.3_FG004"	0
"AC184781.4_FG010"	0
"AC184782.3_FG004"	0
"AC184783.3_FG005"	0
"AC184787.2_FG002"	0
"AC184787.2_FG003"	0
"AC184788.2_FG001"	-2.18578571685146
"AC184789.4_FG002"	0
"AC184790.3_FG003"	0
"AC184794.2_FG003"	0
"AC184831.3_FG003"	-3.38653194519176
"AC184831.3_FG005"	0
"AC184831.3_FG008"	0
"AC184832.2_FG001"	0
"AC184832.2_FG002"	0
"AC184834.3_FG005"	0
"AC184834.3_FG007"	0
"AC184835.3_FG003"	-2.185045161267
"AC184836.3_FG002"	0
"AC184836.3_FG003"	0
"AC184845.4_FG004"	0
"AC184851.4_FG005"	0
"AC184854.4_FG001"	0
"AC184854.4_FG003"	-2.18473856159394
"AC184856.3_FG002"	0
"AC184856.3_FG007"	0
"AC184857.2_FG006"	0
"AC184858.3_FG003"	0
"AC184859.3_FG001"	0
"AC184859.3_FG002"	0
"AC184865.4_FG003"	0
"AC184866.3_FG004"	0
"AC184866.3_FG005"	0
"AC184866.3_FG007"	0
"AC184868.2_FG005"	0
"AC184868.2_FG006"	0
"AC184871.2_FG002"	-2.52739031571845
"AC184871.2_FG009"	0
"AC184873.4_FG001"	0
"AC185108.3_FG006"	0
"AC185108.3_FG007"	0
"AC185108.3_FG008"	0
"AC185108.3_FG010"	0
"AC185108.3_FG011"	0
"AC185111.3_FG003"	0
"AC185111.3_FG004"	0
"AC185112.2_FG002"	0
"AC185115.2_FG005"	0
"AC185121.3_FG001"	0
"AC185122.3_FG008"	0
"AC185122.3_FG009"	0
"AC185126.3_FG002"	0
"AC185126.3_FG006"	0
"AC185128.2_FG002"	0
"AC185130.2_FG004"	0
"AC185130.2_FG005"	0
"AC185213.3_FG003"	0
"AC185216.4_FG002"	0
"AC185217.3_FG002"	0
"AC185217.3_FG003"	0
"AC185217.3_FG004"	0
"AC185217.3_FG007"	0
"AC185218.4_FG004"	0
"AC185218.4_FG007"	0
"AC185222.5_FG001"	0
"AC185222.5_FG002"	0
"AC185223.3_FG005"	0
"AC185223.3_FG007"	0
"AC185224.4_FG005"	0
"AC185226.4_FG001"	-7.47049177152881
"AC185226.4_FG006"	0
"AC185226.4_FG007"	0
"AC185228.4_FG002"	0
"AC185233.3_FG012"	0
"AC185234.4_FG001"	0
"AC185234.4_FG005"	0
"AC185251.3_FG002"	0
"AC185251.3_FG005"	-2.5281328073749
"AC185252.4_FG002"	0
"AC185254.4_FG002"	0
"AC185254.4_FG004"	0
"AC185254.4_FG005"	-3.87249793434585
"AC185256.3_FG002"	-2.47302803240137
"AC185256.3_FG003"	-2.18578571685146
"AC185257.3_FG002"	0
"AC185260.3_FG003"	0
"AC185261.4_FG002"	0
"AC185262.2_FG003"	0
"AC185265.3_FG003"	0
"AC185269.4_FG003"	0
"AC185272.3_FG005"	-2.18476178147462
"AC185276.2_FG003"	-3.63831028893351
"AC185276.2_FG004"	-3.35794500085077
