""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"AC177824.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177831.3_FG004"	0	0	1	0	9	6	0	0	0	0	2	4
"AC177833.2_FG001"	0	0	0	0	0	0	0	0	1	0	0	0
"AC177837.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177837.3_FG007"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177837.3_FG012"	0	0	0	0	1	0	0	0	0	0	15	9
"AC177838.2_FG002"	1	0	1	1	0	0	0	0	0	4	0	0
"AC177838.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG012"	0	0	0	1	0	0	0	0	1	0	0	0
"AC177838.2_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG015"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG017"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG018"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177840.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177840.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177844.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177845.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177846.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177846.2_FG002"	0	0	1	0	0	0	0	0	0	0	0	0
"AC177849.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177850.2_FG003"	2	2	3	5	0	0	3	4	0	2	0	0
"AC177850.2_FG005"	0	0	0	0	0	0	1	0	0	0	0	0
"AC177850.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177852.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177854.5_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177859.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177859.4_FG010"	0	0	0	0	0	0	0	0	2	0	0	0
"AC177860.4_FG002"	0	0	0	0	0	0	0	0	2	1	0	0
"AC177860.4_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177862.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177863.3_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177863.3_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177867.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177868.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177871.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177873.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177875.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177878.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177882.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177882.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177883.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
