""	"Tausta_2014.M.Section_4.1"	"Tausta_2014.M.Section_4.2"	"Tausta_2014.M.Section_9.1"	"Tausta_2014.M.Section_9.2"	"Tausta_2014.M.Section_14.1"	"Tausta_2014.M.Section_14.2"	"Tausta_2014.BS.Section_4.1"	"Tausta_2014.BS.Section_4.2"	"Tausta_2014.BS.Section_9.1"	"Tausta_2014.BS.Section_9.2"	"Tausta_2014.BS.Section_14.1"	"Tausta_2014.BS.Section_14.2"
"GRMZM2G053925"	18	24	240	213	67	75	47	47	477	316	52	58
"GRMZM2G053927"	161	146	374	347	24	41	182	154	197	250	39	32
"GRMZM2G053929"	4	0	0	2	0	0	1	1	1	0	0	0
"GRMZM2G053934"	201	181	914	1080	390	319	238	236	1474	1440	377	509
"GRMZM2G053939"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G053946"	8	5	0	1	0	1	18	10	9	12	3	1
"GRMZM2G053952"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G053955"	1	2	7	5	0	0	2	0	3	4	0	1
"GRMZM2G053958"	9	6	12	14	0	3	9	10	15	14	1	0
"GRMZM2G053970"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G053977"	66	76	438	398	69	60	18	21	125	199	29	19
"GRMZM2G053980"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G053985"	0	0	0	0	2	0	0	0	1	0	0	0
"GRMZM2G053987"	43	59	394	518	390	165	57	33	470	491	65	157
"GRMZM2G053990"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G053991"	5	10	3	3	0	0	15	11	39	10	1	0
"GRMZM2G053999"	65	84	209	231	102	91	278	212	585	455	123	281
"GRMZM2G054007"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM2G054012"	97	106	76	80	212	105	217	188	43	78	65	103
"GRMZM2G054013"	1	1	1	0	6	0	0	0	2	6	4	1
"GRMZM2G054016"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054020"	0	1	0	0	0	1	0	0	1	2	4	3
"GRMZM2G054023"	4	1	0	0	0	0	3	10	0	5	0	0
"GRMZM2G054028"	7	17	55	44	24	13	16	35	62	61	13	15
"GRMZM2G054029"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054032"	0	2	0	0	16	10	5	7	27	17	4	30
"GRMZM2G054040"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G054046"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054048"	0	1	2	4	0	0	3	0	3	13	0	0
"GRMZM2G054050"	11	19	18	8	144	86	28	23	167	100	147	193
"GRMZM2G054056"	72	107	236	246	65	51	100	93	190	208	61	57
"GRMZM2G054065"	2	0	0	1	0	0	2	2	0	0	0	0
"GRMZM2G054070"	8	4	4	2	1	0	5	2	0	3	2	0
"GRMZM2G054076"	86	123	99	104	58	54	59	56	72	46	41	53
"GRMZM2G054092"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054093"	0	0	0	0	1	0	0	0	0	4	0	0
"GRMZM2G054109"	88	103	1205	1238	715	676	133	143	1177	1179	437	510
"GRMZM2G054111"	0	0	0	0	0	0	0	0	0	0	0	2
"GRMZM2G054115"	0	0	17	47	58	77	0	0	27	22	103	164
"GRMZM2G054120"	12	14	4	3	9	16	103	109	429	308	65	97
"GRMZM2G054123"	654	496	152	172	148	102	1215	1176	81	158	115	140
"GRMZM2G054125"	0	0	0	4	3	3	1	0	21	6	16	37
"GRMZM2G054130"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054133"	1	1	0	1	1	0	1	1	1	0	1	0
"GRMZM2G054136"	472	566	471	454	724	448	896	937	381	338	276	328
"GRMZM2G054139"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM2G054145"	5	0	6	3	14	9	7	5	2	5	4	10
"GRMZM2G054149"	630	755	896	818	60	67	522	492	379	405	38	87
"GRMZM2G054152"	4	3	5	4	3	2	9	4	2	5	2	1
"GRMZM2G054154"	0	0	0	0	1	0	0	0	0	0	0	0
"GRMZM2G054155"	17	23	140	167	3	13	47	43	106	98	1	0
"GRMZM2G054162"	73	67	316	244	167	168	97	78	197	235	132	84
"GRMZM2G054163"	0	0	0	0	1	0	0	0	0	0	0	0
"GRMZM2G054187"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054193"	1	0	0	2	1	1	4	2	3	0	2	0
"GRMZM2G054201"	20	25	25	14	22	18	82	82	14	17	0	7
"GRMZM2G054207"	0	0	0	0	0	0	0	0	2	1	0	0
"GRMZM2G054210"	13	16	22	10	16	13	5	11	6	13	21	33
"GRMZM2G054211"	0	1	0	0	0	0	5	3	6	4	0	0
"GRMZM2G054218"	0	0	1	0	0	0	0	0	0	1	0	0
"GRMZM2G054221"	0	1	0	0	10	6	1	0	2	1	5	5
"GRMZM2G054224"	0	0	0	0	0	0	2	0	12	16	1	0
"GRMZM2G054225"	9	9	13	30	21	20	38	23	57	23	50	150
"GRMZM2G054227"	9	10	8	13	4	8	32	48	78	81	5	24
"GRMZM2G054229"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054233"	38	46	429	366	353	281	68	79	638	628	422	591
"GRMZM2G054247"	21	20	60	63	72	78	62	56	141	124	86	103
"GRMZM2G054250"	0	1	2	3	0	0	4	1	0	3	1	1
"GRMZM2G054252"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054267"	23	37	576	450	1529	947	8	8	118	172	701	596
"GRMZM2G054271"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054277"	1	3	2	2	2	0	6	8	0	0	0	0
"GRMZM2G054300"	173	237	894	938	689	616	300	272	1431	1261	292	456
"GRMZM2G054304"	0	0	0	0	0	0	0	0	2	0	0	0
"GRMZM2G054309"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054332"	0	0	0	0	0	1	6	4	0	0	0	0
"GRMZM2G054341"	0	1	0	0	0	0	1	0	0	0	1	1
"GRMZM2G054350"	12	8	4	7	6	5	13	10	77	51	9	34
"GRMZM2G054354"	2	2	6	6	3	1	3	7	4	2	6	2
"GRMZM2G054358"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054359"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054361"	1	1	2	1	0	0	1	0	0	1	0	0
"GRMZM2G054364"	0	0	2	4	2	2	0	0	1	0	2	1
"GRMZM2G054367"	1	1	1	4	4	3	1	0	0	1	2	2
"GRMZM2G054371"	0	0	0	0	0	0	0	0	0	0	0	1
"GRMZM2G054378"	4	3	4	4	20	15	6	3	4	7	15	23
"GRMZM2G054380"	10	11	12	22	11	9	22	13	49	39	7	11
"GRMZM2G054383"	2	1	6	1	11	8	2	4	2	8	18	17
"GRMZM2G054387"	336	548	3195	3416	2241	2371	403	316	2968	2792	1449	1689
"GRMZM2G054392"	0	0	0	2	0	0	0	0	0	1	0	0
"GRMZM2G054393"	13	13	93	79	25	30	20	25	48	68	27	21
"GRMZM2G054397"	0	1	5	3	12	6	0	0	3	3	28	41
"GRMZM2G054405"	966	1171	5281	4623	999	844	1173	1096	1616	2123	353	226
"GRMZM2G054410"	43	65	327	366	364	491	51	36	318	237	344	663
"GRMZM2G054415"	6	9	89	57	12	17	11	6	54	21	8	10
"GRMZM2G054418"	4	0	2	3	3	1	3	2	8	0	1	1
"GRMZM2G054422"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054430"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054448"	2	1	0	4	0	0	3	0	0	1	0	0
"GRMZM2G054458"	23	12	18	3	12	7	12	11	0	4	1	0
"GRMZM2G054465"	4	2	12	11	62	36	9	2	93	125	234	356
"GRMZM2G054468"	42	11	106	104	38	19	26	20	62	107	24	21
"GRMZM2G054470"	63	58	134	124	98	66	92	99	122	101	67	42
"GRMZM2G054481"	148	176	520	520	195	170	160	81	310	275	58	36
"GRMZM2G054500"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054501"	2	5	18	19	1	5	0	2	12	6	1	1
"GRMZM2G054507"	0	0	0	0	0	0	4	1	1	0	0	0
"GRMZM2G054509"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054517"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054522"	6	1	9	6	4	4	13	5	3	14	1	6
"GRMZM2G054527"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054531"	0	0	0	0	0	1	0	0	1	1	0	0
"GRMZM2G054537"	38	31	70	52	63	64	55	51	25	62	47	62
"GRMZM2G054548"	4	0	2	2	1	0	3	3	7	2	0	1
"GRMZM2G054550"	1	1	2	2	19	17	5	4	10	10	18	37
"GRMZM2G054559"	1	0	3	1	2	0	0	0	2	0	0	0
"GRMZM2G054564"	3	0	0	0	0	0	1	1	2	2	1	0
"GRMZM2G054584"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054588"	0	0	0	0	0	0	1	0	0	0	0	1
"GRMZM2G054590"	10	3	5	5	2	2	3	10	4	3	0	0
"GRMZM2G054591"	3	1	0	1	0	1	4	2	4	7	1	0
"GRMZM2G054603"	0	0	0	0	0	0	1	0	0	0	0	0
"GRMZM2G054608"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054610"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G054615"	49	56	96	102	76	50	23	39	96	75	32	43
"GRMZM2G054621"	22	15	97	113	21	21	23	23	48	25	11	18
"GRMZM2G054623"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054628"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054632"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM2G054634"	0	0	1	0	0	2	1	0	0	6	0	0
"GRMZM2G054645"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054651"	9	29	52	39	35	45	22	11	83	49	22	22
"GRMZM2G054653"	0	0	1	1	0	0	0	0	32	18	0	0
"GRMZM2G054655"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054658"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054663"	1	0	1	1	0	0	2	0	0	1	1	0
"GRMZM2G054678"	0	0	0	0	22	9	0	0	0	0	51	58
"GRMZM2G054685"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054687"	0	0	0	0	1	0	0	0	0	0	0	0
"GRMZM2G054689"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054703"	7	6	17	29	20	18	3	8	33	38	16	13
"GRMZM2G054706"	20	14	133	132	105	81	107	84	316	317	128	194
"GRMZM2G054710"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054713"	2	3	9	5	3	1	76	54	0	3	0	1
"GRMZM2G054715"	22	18	43	66	16	33	10	4	27	49	18	13
"GRMZM2G054720"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054745"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G054765"	1	0	3	1	8	12	5	9	1	1	4	7
"GRMZM2G054795"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054803"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054805"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054807"	5	5	25	31	38	3	7	2	53	9	9	21
"GRMZM2G054811"	46	36	111	68	63	45	55	47	100	126	60	71
"GRMZM2G054815"	0	2	3	7	1	5	0	0	4	0	2	0
"GRMZM2G054820"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054821"	63	61	273	302	154	137	57	49	158	210	97	73
"GRMZM2G054826"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054833"	1	0	1	5	2	1	0	0	3	0	0	1
"GRMZM2G054840"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054852"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054870"	3	3	6	10	8	0	5	9	45	27	7	6
"GRMZM2G054876"	0	0	0	0	1	1	0	0	0	0	0	0
"GRMZM2G054892"	0	0	5	3	0	0	2	3	10	3	0	0
"GRMZM2G054896"	1130	1759	1669	1441	281	212	969	687	1127	649	158	338
"GRMZM2G054900"	0	1	0	1	0	0	0	0	0	0	1	0
"GRMZM2G054902"	8	9	20	14	0	1	13	6	9	0	1	2
"GRMZM2G054905"	162	196	653	535	267	468	260	294	2213	1514	123	233
"GRMZM2G054912"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054916"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054919"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054921"	0	0	0	0	0	0	0	0	0	0	0	2
"GRMZM2G054924"	2	1	8	3	0	0	16	11	9	6	0	0
"GRMZM2G054931"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054936"	0	0	1	6	36	20	4	5	127	136	312	514
"GRMZM2G054938"	3	1	12	5	11	9	0	1	2	4	24	12
"GRMZM2G054946"	0	1	0	0	0	0	1	0	0	0	0	0
"GRMZM2G054949"	4	0	1	0	0	0	1	0	0	0	0	0
"GRMZM2G054969"	0	2	1	3	9	4	0	0	2	0	3	1
"GRMZM2G054987"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054994"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G054998"	1	4	19	11	0	3	13	9	60	16	2	1
"GRMZM2G055000"	2	1	2	3	2	0	11	13	16	16	0	0
"GRMZM2G055009"	0	0	0	0	0	0	0	0	0	0	0	14
"GRMZM2G055016"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055018"	0	0	0	0	0	0	0	0	0	0	0	1
"GRMZM2G055020"	12	31	49	54	28	26	16	25	87	51	11	17
"GRMZM2G055024"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G055025"	35	37	191	148	38	71	200	216	792	804	31	22
"GRMZM2G055037"	2	7	50	65	125	149	33	33	315	266	264	236
"GRMZM2G055052"	1	0	6	0	2	0	0	0	0	0	0	0
"GRMZM2G055054"	2	1	10	10	2	0	4	3	7	7	0	0
"GRMZM2G055059"	0	1	9	14	0	0	0	0	4	4	0	0
"GRMZM2G055070"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055089"	21	27	17	37	1	5	25	18	7	9	9	4
"GRMZM2G055101"	0	0	4	2	0	0	0	0	0	1	0	0
"GRMZM2G055107"	4	14	102	91	178	108	25	19	70	100	186	166
"GRMZM2G055114"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055116"	49	75	271	270	215	215	91	97	378	243	147	225
"GRMZM2G055119"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055121"	0	2	2	4	1	0	1	4	17	5	0	0
"GRMZM2G055124"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055125"	16	33	106	147	230	143	61	50	308	310	264	399
"GRMZM2G055130"	2	0	1	0	0	1	0	0	5	0	0	0
"GRMZM2G055135"	1253	1701	707	827	472	327	792	717	1613	1283	957	1482
"GRMZM2G055141"	389	440	2270	2634	381	421	415	356	1446	1285	266	298
"GRMZM2G055143"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055150"	0	0	0	0	0	0	0	0	0	1	1	0
"GRMZM2G055151"	41	32	848	696	66	85	17	20	264	139	19	64
"GRMZM2G055154"	1	0	0	0	1	0	1	0	0	0	0	0
"GRMZM2G055155"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055158"	16	18	6	4	0	8	95	80	41	65	4	24
"GRMZM2G055162"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055165"	7594	11028	17822	21769	3096	3731	9983	9642	10112	9102	1101	1119
"GRMZM2G055168"	0	0	3	0	0	0	0	0	5	0	0	0
"GRMZM2G055172"	11	9	42	35	18	9	14	11	17	15	9	6
"GRMZM2G055175"	0	1	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055178"	0	0	0	0	0	0	1	0	0	0	0	0
"GRMZM2G055180"	38	36	110	86	34	15	28	14	143	90	1	3
"GRMZM2G055193"	0	0	0	2	25	19	0	0	0	1	28	45
"GRMZM2G055204"	405	501	2702	2587	1308	1067	799	601	3783	3376	1652	2756
"GRMZM2G055209"	0	0	0	0	0	2	0	1	1	2	0	1
"GRMZM2G055216"	20	29	9	15	26	14	9	14	1	0	0	4
"GRMZM2G055217"	22	27	55	74	17	10	32	43	31	24	8	4
"GRMZM2G055219"	1	4	3	0	4	1	5	5	17	10	8	1
"GRMZM2G055230"	101	103	249	293	261	255	141	120	524	411	131	153
"GRMZM2G055238"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055240"	2	5	16	12	3	3	7	4	18	8	2	8
"GRMZM2G055243"	194	198	794	810	387	420	253	249	838	933	289	366
"GRMZM2G055251"	152	195	410	462	220	169	219	226	386	320	117	151
"GRMZM2G055255"	41	44	63	63	166	128	85	67	77	85	103	164
"GRMZM2G055257"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055262"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055263"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055273"	5	7	6	11	4	0	4	6	5	13	1	0
"GRMZM2G055276"	167	179	290	305	140	105	309	338	257	166	52	125
"GRMZM2G055278"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055279"	2	3	0	1	0	0	0	1	0	0	0	0
"GRMZM2G055282"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055289"	2	4	13	5	2	0	2	9	1	13	1	2
"GRMZM2G055309"	22	12	11	5	10	13	69	49	129	103	17	45
"GRMZM2G055313"	1	0	1	3	1	0	1	0	4	6	0	0
"GRMZM2G055320"	40	52	30	48	5	6	54	53	5	5	1	0
"GRMZM2G055326"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055331"	50	17	10	7	29	20	125	119	137	97	99	96
"GRMZM2G055334"	2	4	5	3	8	17	24	16	75	29	6	7
"GRMZM2G055337"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055370"	4	7	8	4	7	2	20	8	3	9	2	3
"GRMZM2G055386"	1	0	0	2	30	19	0	1	2	2	25	92
"GRMZM2G055388"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055393"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055404"	3	2	0	0	0	0	30	22	12	19	10	7
"GRMZM2G055413"	61	69	517	447	151	158	132	136	294	431	52	49
"GRMZM2G055420"	50	58	29	36	4	7	33	30	80	59	10	17
"GRMZM2G055431"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM2G055434"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055435"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055437"	0	0	0	1	1	0	0	0	1	0	0	0
"GRMZM2G055446"	1	1	47	26	12	7	0	0	14	19	3	4
"GRMZM2G055450"	4	15	13	1	0	0	30	26	1	1	0	0
"GRMZM2G055458"	19	5	20	23	14	6	4	13	52	65	9	1
"GRMZM2G055462"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055464"	1	0	3	8	11	1	1	1	0	0	3	0
"GRMZM2G055467"	8	9	46	39	250	146	1	1	9	9	105	129
"GRMZM2G055469"	8	4	11	17	3	1	25	13	28	28	0	0
"GRMZM2G055487"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055489"	343	467	2324	2161	1490	1255	793	958	2334	2380	1392	1765
"GRMZM2G055499"	0	0	3	6	2	0	0	0	1	0	0	0
"GRMZM2G055501"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055507"	6	2	3	0	13	6	0	6	3	0	9	39
"GRMZM2G055518"	0	0	1	0	0	0	0	0	0	1	0	0
"GRMZM2G055520"	73	78	152	166	69	73	80	89	133	177	61	55
"GRMZM2G055524"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055527"	55	66	170	197	184	161	87	108	121	164	80	93
"GRMZM2G055535"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055538"	119	143	573	696	542	537	201	198	514	553	348	423
"GRMZM2G055542"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G055545"	0	1	1	0	0	0	1	0	0	0	0	0
"GRMZM2G055549"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055551"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055561"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055566"	0	0	0	0	0	0	0	1	0	0	0	0
"GRMZM2G055567"	3	6	22	11	4	2	5	4	11	7	5	4
"GRMZM2G055570"	0	0	0	0	0	0	1	1	1	0	0	0
"GRMZM2G055575"	484	387	140	122	193	126	684	537	1024	1063	489	1062
"GRMZM2G055578"	1	0	0	0	1	0	1	0	2	0	0	1
"GRMZM2G055585"	374	466	1689	1588	633	247	109	106	403	263	133	52
"GRMZM2G055594"	0	0	0	0	0	0	2	1	0	0	0	0
"GRMZM2G055606"	1	4	6	3	0	0	6	2	6	3	0	0
"GRMZM2G055607"	2	2	0	0	1	2	0	1	0	1	3	2
"GRMZM2G055619"	1	0	2	1	0	0	0	2	4	7	0	0
"GRMZM2G055621"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055629"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055641"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055643"	59	81	254	272	182	168	82	77	246	215	106	135
"GRMZM2G055647"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055652"	1	3	0	6	4	2	3	1	6	3	0	5
"GRMZM2G055656"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055657"	3	8	3	2	2	1	8	9	1	0	1	2
"GRMZM2G055660"	22	35	108	92	27	17	42	46	34	43	28	16
"GRMZM2G055667"	0	0	2	0	4	4	0	0	0	4	1	5
"GRMZM2G055678"	3	5	14	15	8	6	12	8	149	100	14	14
"GRMZM2G055682"	26	18	121	141	114	123	27	33	110	97	70	71
"GRMZM2G055684"	157	78	0	0	0	0	28	15	0	0	0	0
"GRMZM2G055696"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055698"	0	0	0	0	4	2	0	0	0	0	0	1
"GRMZM2G055699"	38	36	180	224	112	62	25	14	74	72	62	53
"GRMZM2G055704"	0	0	0	0	0	0	0	0	5	0	1	0
"GRMZM2G055705"	0	0	1	1	1	1	0	0	1	0	1	0
"GRMZM2G055717"	376	459	1656	2166	349	467	657	515	1851	1504	234	559
"GRMZM2G055724"	23	6	55	42	47	28	44	34	16	27	29	50
"GRMZM2G055727"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055735"	0	0	0	1	0	0	0	0	0	2	0	0
"GRMZM2G055737"	0	2	0	2	0	0	4	1	4	3	0	0
"GRMZM2G055741"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055752"	15	34	11	26	171	55	61	46	83	57	51	95
"GRMZM2G055754"	5	7	26	33	23	9	11	16	15	22	24	14
"GRMZM2G055757"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055759"	0	0	2	1	0	0	0	0	1	0	0	0
"GRMZM2G055768"	0	0	0	1	2	1	8	7	1	0	2	8
"GRMZM2G055773"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055782"	0	0	0	0	0	0	1	0	1	3	0	5
"GRMZM2G055785"	1	2	17	10	5	2	4	2	9	11	2	3
"GRMZM2G055789"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055795"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055802"	0	0	0	0	2	0	0	0	0	0	0	0
"GRMZM2G055807"	37	31	154	127	107	71	61	37	141	231	77	72
"GRMZM2G055809"	78	86	133	125	100	75	77	92	257	144	40	22
"GRMZM2G055826"	43	35	9	16	2	0	13	9	17	5	0	0
"GRMZM2G055827"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055834"	27	53	2	7	0	0	55	46	2	4	2	4
"GRMZM2G055835"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055839"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055844"	3	3	5	5	0	3	1	2	2	1	0	0
"GRMZM2G055854"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055857"	154	129	546	535	215	159	160	132	363	311	100	206
"GRMZM2G055859"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055862"	0	0	0	0	1	0	0	0	1	0	2	0
"GRMZM2G055871"	2	6	2	2	1	0	5	6	6	7	1	3
"GRMZM2G055873"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055880"	1	1	2	2	5	6	1	2	0	7	2	3
"GRMZM2G055883"	3	3	10	4	4	0	3	7	6	6	2	11
"GRMZM2G055894"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055898"	106	140	362	334	120	119	154	130	1624	1257	40	76
"GRMZM2G055899"	34	49	127	114	96	62	59	61	111	104	74	81
"GRMZM2G055905"	118	98	482	443	282	260	164	154	618	455	167	276
"GRMZM2G055908"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055909"	0	0	0	1	0	0	0	0	0	0	0	0
"GRMZM2G055917"	15	2	19	11	10	13	38	25	9	15	6	13
"GRMZM2G055936"	618	893	4363	4437	2735	2891	1739	1566	8161	6798	2747	4343
"GRMZM2G055944"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055947"	0	0	0	0	0	0	1	0	3	0	0	0
"GRMZM2G055957"	5	5	8	4	0	0	2	4	3	1	6	0
"GRMZM2G055960"	56	89	179	232	87	62	119	129	260	170	55	74
"GRMZM2G055968"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055970"	138	213	930	918	397	317	191	203	713	634	204	326
"GRMZM2G055973"	20	29	175	150	46	65	57	36	645	637	162	159
"GRMZM2G055982"	7	1	2	1	3	0	2	2	4	6	1	4
"GRMZM2G055992"	4	8	0	14	16	13	23	21	61	31	22	18
"GRMZM2G055997"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G055999"	0	0	0	0	0	0	1	2	2	0	0	0
"GRMZM2G056014"	49	49	251	240	114	78	71	58	116	79	25	77
"GRMZM2G056019"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G056022"	7	12	23	23	0	0	31	18	20	17	0	0
"GRMZM2G056031"	0	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G056036"	8	10	50	26	23	8	12	20	54	39	16	33
"GRMZM2G056038"	74	73	219	217	51	38	196	150	493	423	62	104
"GRMZM2G056039"	295	307	1238	1075	2012	1717	276	219	667	644	953	832
"GRMZM2G056056"	5	0	3	1	0	1	1	3	1	4	0	0
"GRMZM2G056068"	1566	1901	2633	3389	2474	2022	1196	1142	1771	1524	1311	2521
"GRMZM2G056074"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G056075"	1	0	0	7	4	2	0	0	0	11	5	5
"GRMZM2G056078"	40	52	138	130	141	129	87	61	233	251	204	338
"GRMZM2G056079"	1	3	3	3	0	0	2	4	6	5	0	1
"GRMZM2G056081"	1	4	28	33	13	4	13	12	142	58	16	29
"GRMZM2G056088"	0	0	1	1	0	0	1	1	1	2	0	0
"GRMZM2G056093"	120	120	368	457	974	865	507	377	4596	4630	6967	10099
"GRMZM2G056099"	15	16	85	65	48	35	20	16	169	137	60	61
"GRMZM2G056103"	4	6	17	16	17	5	8	10	4	16	19	14
"GRMZM2G056109"	0	0	0	0	0	1	0	0	0	0	1	0
