""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"GRMZM2G004190"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004191"	0	2	0	1	0	0	1	1	0	0	0	0
"GRMZM2G004202"	1	0	0	1	0	0	1	0	0	1	0	0
"GRMZM2G004207"	0	0	2	3	3	2	2	8	0	0	0	0
"GRMZM2G004211"	64	161	45	54	3	4	1	1	0	0	0	0
"GRMZM2G004215"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004222"	178	579	238	405	168	156	56	97	67	45	31	30
"GRMZM2G004224"	5	3	16	19	86	104	73	40	186	292	42	51
"GRMZM2G004259"	120	153	27	28	34	28	32	63	25	36	18	37
"GRMZM2G004276"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004278"	0	1	0	0	25	21	19	42	4	0	4	7
"GRMZM2G004290"	21	57	14	17	34	19	10	31	1	0	0	1
"GRMZM2G004298"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004301"	119	302	14	21	69	50	28	101	10	0	3	0
"GRMZM2G004305"	82	178	73	130	255	220	140	359	168	199	60	56
"GRMZM2G004314"	0	0	0	0	0	1	0	1	0	0	0	0
"GRMZM2G004317"	0	0	1	1	2	0	0	1	0	0	0	0
"GRMZM2G004320"	32	47	19	33	23	22	10	19	2	0	2	1
"GRMZM2G004330"	1	0	1	8	9	10	13	19	16	30	16	23
"GRMZM2G004334"	60	134	0	2	0	0	0	0	0	0	0	0
"GRMZM2G004349"	221	448	70	123	59	61	21	52	38	21	6	12
"GRMZM2G004352"	10	55	303	581	1476	1401	415	947	311	265	126	92
"GRMZM2G004354"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004356"	33	95	53	64	83	87	55	138	6	1	31	28
"GRMZM2G004362"	3	4	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004370"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004375"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004377"	48	102	356	651	1242	1021	555	1269	280	314	99	76
"GRMZM2G004380"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004382"	2017	3044	581	751	478	428	187	474	139	127	111	191
"GRMZM2G004384"	0	3	0	1	1	2	0	3	0	1	0	0
"GRMZM2G004385"	0	0	0	0	0	0	0	0	0	1	0	0
"GRMZM2G004392"	0	0	0	0	0	0	2	1	0	0	0	0
"GRMZM2G004396"	60	141	134	310	334	309	63	260	172	112	47	39
"GRMZM2G004397"	193	311	411	649	739	757	460	887	400	345	314	1620
"GRMZM2G004408"	0	0	0	0	1	0	2	0	0	4	2	4
"GRMZM2G004412"	49	79	13	28	22	18	11	21	6	2	0	2
"GRMZM2G004414"	47	116	11	51	65	69	72	132	143	75	129	93
"GRMZM2G004422"	54	79	78	159	335	299	125	298	291	229	153	342
"GRMZM2G004435"	7	19	9	16	70	51	13	58	23	13	7	20
"GRMZM2G004440"	0	1	0	1	0	1	0	0	0	0	0	0
"GRMZM2G004445"	21	73	28	43	31	30	2	31	17	0	7	18
"GRMZM2G004455"	46	98	85	134	238	188	156	290	150	137	188	252
"GRMZM2G004459"	198	264	71	92	118	97	71	173	108	71	69	83
"GRMZM2G004466"	30	87	11	34	12	8	4	15	0	0	0	0
"GRMZM2G004468"	87	191	79	150	117	100	65	120	46	54	37	41
"GRMZM2G004475"	132	200	96	168	82	64	33	70	7	6	4	6
"GRMZM2G004480"	98	314	67	117	10	13	2	8	1	0	0	9
"GRMZM2G004483"	13	56	44	123	311	385	208	478	19	13	10	8
"GRMZM2G004487"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004500"	0	0	2	6	0	0	0	0	0	0	0	0
"GRMZM2G004511"	28	145	365	937	2243	2313	1326	2445	2166	1827	781	858
"GRMZM2G004516"	3	3	29	44	71	50	54	127	91	73	37	35
"GRMZM2G004519"	2	4	3	2	7	15	1	11	3	0	0	0
"GRMZM2G004521"	10	8	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004523"	1	0	22	41	794	759	401	975	138	199	280	406
"GRMZM2G004528"	817	1555	1613	2954	13444	12262	7429	16297	9190	8544	15592	23237
"GRMZM2G004531"	11	26	92	116	128	140	55	104	37	23	9	23
"GRMZM2G004534"	536	909	451	767	2829	2502	1562	3463	1109	822	1216	1299
"GRMZM2G004542"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004544"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004545"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004548"	2	7	4	10	18	20	10	24	3	1	7	8
"GRMZM2G004550"	0	1	0	0	0	0	0	1	0	0	0	0
"GRMZM2G004555"	5	0	2	5	3	1	1	1	0	0	0	0
"GRMZM2G004559"	2	6	2	7	3	5	2	1	0	0	0	0
"GRMZM2G004572"	102	190	465	630	89	77	13	34	0	0	0	0
"GRMZM2G004575"	0	0	0	0	0	0	0	0	0	0	0	1
"GRMZM2G004582"	1	6	0	9	8	1	2	6	0	0	1	2
"GRMZM2G004583"	223	509	501	849	983	807	347	1000	1228	1002	923	989
"GRMZM2G004590"	11	24	96	143	14	9	2	1	0	4	2	1
"GRMZM2G004592"	33	57	36	53	50	55	47	72	34	32	18	19
"GRMZM2G004593"	6	13	1	1	0	1	0	1	0	1	0	0
"GRMZM2G004602"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004617"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004619"	102	181	76	141	196	158	88	226	87	39	102	180
"GRMZM2G004628"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004640"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004641"	26	105	104	224	94	159	74	190	131	63	47	87
"GRMZM2G004653"	0	0	2	6	81	66	16	59	0	4	1	0
"GRMZM2G004663"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004679"	5	12	1	0	0	0	0	0	0	0	0	0
"GRMZM2G004683"	3	19	85	169	73	66	26	60	36	37	15	20
"GRMZM2G004687"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004690"	0	5	3	1	2	4	2	3	0	0	1	0
"GRMZM2G004694"	0	0	6	9	41	49	49	68	10	3	5	0
"GRMZM2G004696"	165	505	145	304	629	690	253	723	213	141	298	480
"GRMZM2G004699"	1	2	4	4	1	3	0	0	2	0	0	0
"GRMZM2G004703"	335	358	122	132	94	59	66	84	597	572	283	399
"GRMZM2G004709"	41	35	36	53	14	14	6	11	11	1	4	5
"GRMZM2G004714"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004715"	21	42	49	96	113	84	43	73	21	21	8	9
"GRMZM2G004729"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004732"	9	33	18	35	31	25	7	31	2	1	11	3
"GRMZM2G004736"	157	166	209	265	242	197	82	227	107	79	66	58
"GRMZM2G004741"	80	135	62	80	45	31	22	56	25	13	7	5
"GRMZM2G004748"	692	1937	62	83	7	7	8	18	0	0	0	0
"GRMZM2G004752"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004755"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004761"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004768"	119	214	149	222	170	196	107	226	230	119	102	120
"GRMZM2G004772"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004774"	0	3	0	0	1	1	0	0	0	0	0	0
"GRMZM2G004784"	51	102	135	244	268	248	112	216	120	86	175	324
"GRMZM2G004793"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004795"	0	0	0	8	1	6	0	1	8	0	1	5
"GRMZM2G004799"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004811"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004824"	1	4	2	1	1	1	1	2	0	2	0	1
"GRMZM2G004828"	55	136	9	20	0	0	1	1	0	0	0	0
"GRMZM2G004835"	41	239	380	529	278	254	79	210	66	80	60	168
"GRMZM2G004847"	165	375	109	216	204	174	84	168	424	335	190	187
"GRMZM2G004850"	0	2	1	1	0	1	0	0	0	0	0	0
"GRMZM2G004856"	3	2	0	0	0	1	0	4	0	0	0	0
"GRMZM2G004858"	1	3	1	0	2	3	3	5	9	1	4	5
"GRMZM2G004878"	290	410	14	26	18	21	15	21	22	24	69	80
"GRMZM2G004880"	13	24	143	201	1365	1329	544	1122	203	165	1349	2070
"GRMZM2G004886"	16	37	2	3	5	3	0	3	0	0	0	0
"GRMZM2G004888"	20	22	14	19	45	32	23	43	1	0	1	0
"GRMZM2G004895"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004898"	3	11	1	5	22	15	17	70	64	30	37	27
"GRMZM2G004908"	29	96	43	60	98	87	33	69	0	0	0	0
"GRMZM2G004909"	54	92	99	192	237	202	34	91	20	16	93	24
"GRMZM2G004917"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004921"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004924"	132	83	2	0	2	1	0	1	0	0	0	0
"GRMZM2G004927"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004932"	194	345	39	81	200	159	244	420	183	159	314	360
"GRMZM2G004946"	0	0	1	0	0	0	0	0	0	0	0	0
"GRMZM2G004947"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004949"	48	144	5	14	19	20	5	17	0	0	0	0
"GRMZM2G004955"	59	131	27	50	0	0	0	0	1	0	0	0
"GRMZM2G004957"	190	439	4	15	2	9	4	1	2	2	0	0
"GRMZM2G004959"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004974"	6	30	2	4	2	2	1	2	0	0	2	6
"GRMZM2G004982"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G004984"	0	1	2	3	0	0	0	0	0	0	0	0
"GRMZM2G004988"	33	31	1	2	0	1	0	0	2	1	0	0
"GRMZM2G004990"	136	457	199	310	20	18	12	16	5	0	1	7
"GRMZM2G004996"	58	87	176	325	580	544	225	504	381	218	155	139
"GRMZM2G004997"	371	473	401	574	783	648	306	768	758	659	331	351
"GRMZM2G005000"	108	245	53	113	62	45	10	15	22	4	6	2
"GRMZM2G005013"	7	8	4	6	0	0	2	1	0	0	0	0
"GRMZM2G005016"	0	1	0	0	0	0	0	1	0	0	0	1
"GRMZM2G005024"	229	658	195	362	758	640	252	740	389	304	307	429
"GRMZM2G005028"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005030"	0	2	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005033"	1	1	0	0	0	1	0	0	0	0	0	0
"GRMZM2G005036"	316	495	136	203	229	232	112	312	139	115	206	299
"GRMZM2G005040"	11	19	2	4	26	25	59	93	6	15	1	0
"GRMZM2G005043"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005046"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005052"	0	9	3	5	9	15	6	11	0	0	0	0
"GRMZM2G005055"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005057"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005061"	41	39	3	8	5	3	4	13	53	86	20	10
"GRMZM2G005066"	0	0	0	0	1	11	1	3	0	0	0	0
"GRMZM2G005080"	433	1271	122	243	218	243	89	315	322	275	212	296
"GRMZM2G005082"	343	560	75	143	347	287	115	321	190	96	75	84
"GRMZM2G005085"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005103"	124	211	122	138	75	59	4	14	5	3	7	2
"GRMZM2G005107"	75	220	85	146	189	166	102	247	161	125	131	153
"GRMZM2G005112"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005114"	0	0	0	0	2	0	0	0	0	1	0	0
"GRMZM2G005117"	58	136	112	176	115	96	17	35	21	14	6	9
"GRMZM2G005126"	228	364	129	180	183	174	94	211	26	25	23	14
"GRMZM2G005134"	42	44	15	16	4	7	2	7	0	2	0	0
"GRMZM2G005146"	20	27	4	4	70	64	165	170	188	126	70	51
"GRMZM2G005155"	21	35	23	54	50	40	25	52	24	18	21	37
"GRMZM2G005163"	30	64	15	29	19	16	7	14	6	7	9	1
"GRMZM2G005170"	39	53	35	60	67	60	17	39	39	26	15	17
"GRMZM2G005174"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005180"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005187"	30	91	5	2	6	2	7	10	11	3	9	2
"GRMZM2G005195"	24	37	151	209	200	207	100	188	16	4	15	12
"GRMZM2G005199"	54	49	14	20	5	6	2	7	5	6	1	0
"GRMZM2G005205"	49	135	5	17	13	10	10	8	3	4	1	2
"GRMZM2G005207"	40	88	47	157	15	20	18	44	11	11	2	0
"GRMZM2G005209"	183	353	60	81	58	31	29	84	28	20	22	29
"GRMZM2G005216"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005229"	4	7	1	10	13	15	6	15	29	43	13	11
"GRMZM2G005232"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005233"	0	4	6	25	32	28	17	23	1	0	0	0
"GRMZM2G005236"	201	237	113	146	19	20	0	7	7	0	3	0
"GRMZM2G005241"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005251"	48	101	36	66	50	57	21	61	60	54	27	38
"GRMZM2G005253"	0	2	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005256"	149	116	34	34	9	11	23	38	5	5	3	11
"GRMZM2G005260"	88	303	720	1243	2828	2481	769	1645	1325	1010	1165	1401
"GRMZM2G005261"	1	0	0	0	0	0	0	0	1	0	0	0
"GRMZM2G005269"	1	1	0	0	1	0	0	0	1	4	0	0
"GRMZM2G005271"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005276"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005278"	11	6	5	13	13	8	4	3	6	8	2	1
"GRMZM2G005281"	35	44	21	38	32	26	14	20	2	2	6	3
"GRMZM2G005284"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005286"	3	0	2	7	8	4	4	7	36	28	12	28
"GRMZM2G005290"	2	8	1	2	0	0	0	0	0	0	0	0
"GRMZM2G005291"	0	2	1	1	1	1	2	1	0	0	0	0
"GRMZM2G005293"	77	182	0	0	0	0	0	1	1	9	0	0
"GRMZM2G005296"	0	0	0	2	0	0	0	0	1	0	0	0
"GRMZM2G005298"	40	48	49	67	10	3	0	13	12	21	7	3
"GRMZM2G005301"	3	6	11	22	9	7	5	13	5	0	1	0
"GRMZM2G005304"	109	193	194	229	132	107	53	104	0	7	5	3
"GRMZM2G005306"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005308"	247	287	59	113	76	62	73	165	47	23	21	30
"GRMZM2G005310"	433	589	12	17	12	7	1	17	4	11	10	11
"GRMZM2G005311"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005314"	299	993	83	132	0	1	0	0	15	9	0	0
"GRMZM2G005319"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005335"	1	5	0	1	1	1	1	0	0	0	0	0
"GRMZM2G005339"	106	99	18	22	23	19	14	33	103	150	39	51
"GRMZM2G005341"	0	0	0	0	0	0	0	0	2	1	0	0
"GRMZM2G005344"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005346"	130	137	111	150	97	79	48	109	94	50	56	56
"GRMZM2G005347"	11	13	115	111	218	152	81	160	17	13	30	50
"GRMZM2G005350"	71	149	71	82	89	134	36	126	3	2	10	5
"GRMZM2G005353"	16	6	0	2	0	0	0	0	0	0	0	1
"GRMZM2G005357"	18	12	13	20	16	13	2	16	0	0	0	0
"GRMZM2G005365"	28	51	33	34	36	37	16	45	25	23	8	11
"GRMZM2G005372"	0	0	1	0	1	0	0	0	0	0	0	0
"GRMZM2G005374"	30	45	18	20	8	5	1	5	0	2	0	1
"GRMZM2G005384"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005401"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005419"	91	181	77	117	74	53	32	69	18	28	25	24
"GRMZM2G005421"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005424"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005433"	5	7	1	1	1	1	1	3	8	2	2	3
"GRMZM2G005435"	151	287	30	57	30	31	3	24	8	4	2	1
"GRMZM2G005444"	205	391	413	597	1301	1107	304	701	200	211	162	200
"GRMZM2G005445"	0	4	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005448"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005452"	24	23	23	51	20	11	6	20	5	0	5	1
"GRMZM2G005454"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005456"	297	381	198	265	187	195	117	201	10	13	3	9
"GRMZM2G005458"	0	1	0	0	0	1	0	0	0	0	1	0
"GRMZM2G005459"	315	737	88	116	105	91	32	66	56	40	8	4
"GRMZM2G005461"	13	27	9	6	5	1	9	4	2	4	2	0
"GRMZM2G005475"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005480"	3	1	1	1	2	1	0	1	0	0	2	7
"GRMZM2G005482"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005483"	128	257	73	99	29	24	6	15	6	2	1	2
"GRMZM2G005486"	43	70	2	14	1	1	1	2	6	3	1	0
"GRMZM2G005493"	291	531	144	201	265	246	143	260	22	11	30	18
"GRMZM2G005499"	24	65	18	24	21	26	2	11	1	2	0	0
"GRMZM2G005505"	3	2	0	1	3	1	2	3	0	0	0	3
"GRMZM2G005516"	1	0	0	1	0	0	0	0	0	1	0	0
"GRMZM2G005522"	4	9	1	8	12	9	5	4	5	3	0	8
"GRMZM2G005526"	2	16	3	5	5	0	1	3	0	0	0	0
"GRMZM2G005536"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005540"	1	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005541"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005545"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005552"	205	900	32	90	27	9	8	30	14	8	3	10
"GRMZM2G005554"	12	57	2	6	6	6	1	3	0	0	0	0
"GRMZM2G005557"	34	81	2	4	8	9	5	5	0	2	3	1
"GRMZM2G005562"	246	621	202	404	898	803	827	1621	269	240	361	554
"GRMZM2G005566"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005583"	82	171	96	183	123	99	41	114	89	46	48	33
"GRMZM2G005592"	137	159	194	233	174	145	83	190	66	84	35	30
"GRMZM2G005596"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005608"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005613"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005617"	0	0	0	1	0	0	0	0	0	0	1	0
"GRMZM2G005619"	41	32	1	3	1	1	0	1	1	0	0	0
"GRMZM2G005622"	89	246	80	124	263	242	101	179	87	68	57	58
"GRMZM2G005624"	1	1	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005630"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005633"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005640"	52	101	14	21	16	9	12	26	3	4	8	2
"GRMZM2G005641"	5	12	2	2	0	0	0	0	0	0	0	0
"GRMZM2G005643"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005646"	40	39	32	37	40	40	18	27	67	55	50	79
"GRMZM2G005652"	100	179	327	507	1385	1198	494	1205	292	309	365	469
"GRMZM2G005659"	0	0	0	0	2	1	0	0	5	3	0	1
"GRMZM2G005664"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005678"	9	18	2	7	1	2	0	2	0	0	0	1
"GRMZM2G005680"	70	107	12	12	9	7	4	10	10	2	1	3
"GRMZM2G005700"	2	0	1	0	2	1	1	5	0	0	1	0
"GRMZM2G005703"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005710"	3	5	9	16	23	10	26	46	40	47	64	85
"GRMZM2G005715"	112	201	0	0	1	0	0	0	2	0	0	0
"GRMZM2G005730"	1	2	2	0	0	0	2	1	2	0	1	4
"GRMZM2G005732"	50	71	176	232	635	452	189	333	56	26	332	359
"GRMZM2G005734"	0	0	1	1	0	2	0	0	0	0	0	0
"GRMZM2G005737"	282	612	227	331	363	366	181	385	319	367	215	349
"GRMZM2G005747"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005749"	1	0	1	2	2	3	0	4	1	0	0	0
"GRMZM2G005753"	236	270	93	127	111	90	61	116	45	42	40	45
"GRMZM2G005756"	0	1	0	0	0	0	0	0	0	1	0	0
"GRMZM2G005764"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005767"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005771"	10	24	1	7	19	15	1	17	31	21	27	44
"GRMZM2G005779"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005788"	250	396	50	71	77	63	57	118	64	33	72	54
"GRMZM2G005791"	102	172	92	132	131	106	60	125	47	33	26	45
"GRMZM2G005798"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005815"	13	11	0	3	2	1	1	1	1	1	0	0
"GRMZM2G005818"	7	15	3	1	1	1	0	2	0	0	0	0
"GRMZM2G005825"	0	0	1	0	3	6	0	0	0	0	0	0
"GRMZM2G005830"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005834"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005835"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005840"	9	35	13	29	64	71	67	139	107	66	108	301
"GRMZM2G005844"	9	18	4	5	4	3	4	9	2	3	0	0
"GRMZM2G005848"	125	186	139	209	103	95	30	66	22	25	16	21
"GRMZM2G005849"	235	439	117	195	76	135	54	80	62	29	28	30
"GRMZM2G005858"	0	0	1	0	0	1	0	0	0	0	0	0
"GRMZM2G005859"	193	579	537	1041	3894	3799	2791	6446	1532	1246	1821	1886
"GRMZM2G005863"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005865"	9	8	25	29	39	35	18	40	30	29	24	18
"GRMZM2G005869"	98	167	120	178	245	245	76	121	240	156	187	233
"GRMZM2G005875"	0	0	2	0	0	0	1	1	1	0	0	0
"GRMZM2G005886"	217	389	567	830	808	702	301	646	407	386	257	343
"GRMZM2G005887"	774	1391	1546	2441	2330	2051	712	1745	867	581	540	723
"GRMZM2G005909"	128	570	63	166	21	15	3	21	5	4	5	2
"GRMZM2G005923"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005938"	29	78	55	93	66	53	27	44	3	0	1	2
"GRMZM2G005939"	3	11	32	70	60	31	22	73	6	0	1	1
"GRMZM2G005947"	165	223	146	178	140	105	35	98	2	3	2	3
"GRMZM2G005954"	26	30	265	501	2670	2446	718	1616	862	640	218	258
"GRMZM2G005955"	38	106	32	46	81	67	20	49	1	0	2	2
"GRMZM2G005960"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005967"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005973"	656	1754	2950	4650	3812	3686	1523	2959	2724	2165	1212	1495
"GRMZM2G005975"	2	0	2	6	4	2	1	0	0	0	1	0
"GRMZM2G005977"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005980"	326	254	58	80	52	20	26	66	44	30	35	39
"GRMZM2G005984"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G005990"	88	99	74	67	117	102	79	109	23	27	19	50
"GRMZM2G005991"	0	4	373	525	2	0	1	0	2	0	0	0
"GRMZM2G005996"	34	48	8	6	49	60	55	141	0	0	13	33
"GRMZM2G005998"	67	64	12	13	17	13	3	11	0	1	1	0
"GRMZM2G006006"	192	483	292	464	302	298	126	228	128	103	136	96
"GRMZM2G006009"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006019"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006025"	11	9	9	21	5	3	6	10	14	9	3	3
"GRMZM2G006036"	1	2	0	0	1	0	1	0	0	0	0	0
"GRMZM2G006042"	135	192	37	57	25	24	47	93	37	22	32	16
"GRMZM2G006044"	1	2	2	1	2	1	0	2	2	7	1	0
"GRMZM2G006047"	0	0	171	207	2	1	0	1	1	0	3	0
"GRMZM2G006062"	1	0	0	4	0	2	0	2	0	0	0	0
"GRMZM2G006063"	1	0	0	0	0	0	0	0	0	1	0	0
"GRMZM2G006069"	83	142	45	51	43	41	21	40	21	21	11	10
"GRMZM2G006071"	132	402	31	63	33	21	26	55	5	0	1	3
"GRMZM2G006080"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006083"	53	101	15	32	38	46	27	68	23	14	23	29
"GRMZM2G006085"	293	376	213	249	276	271	102	254	216	144	210	353
"GRMZM2G006099"	0	2	0	0	6	2	1	2	5	0	0	1
"GRMZM2G006107"	328	437	230	273	271	261	155	320	203	182	145	127
"GRMZM2G006112"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006117"	411	643	336	463	193	158	70	198	37	16	20	13
"GRMZM2G006119"	0	1	1	0	0	0	0	0	0	0	0	0
"GRMZM2G006121"	75	175	331	561	663	607	313	586	537	698	182	135
"GRMZM2G006128"	55	60	21	55	59	46	45	71	1	2	6	7
"GRMZM2G006130"	195	327	1306	1819	561	593	269	437	228	271	113	107
"GRMZM2G006144"	101	206	55	99	61	60	22	55	25	16	25	28
"GRMZM2G006178"	264	292	180	260	252	180	118	285	5	8	4	3
"GRMZM2G006197"	4	29	0	6	0	2	1	0	0	0	0	0
"GRMZM2G006206"	1	0	1	1	0	2	0	0	0	0	1	0
"GRMZM2G006207"	11	19	2	2	1	0	0	0	0	0	0	0
"GRMZM2G006210"	3	7	2	2	9	7	1	8	1	1	1	0
"GRMZM2G006212"	0	1	1	1	1	2	0	4	6	0	0	1
"GRMZM2G006216"	22	35	25	37	21	35	13	28	6	4	3	6
"GRMZM2G006219"	12	33	29	50	128	134	211	305	379	207	106	65
"GRMZM2G006222"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006229"	93	298	205	342	103	97	55	120	72	44	44	96
"GRMZM2G006234"	39	69	2	12	2	5	1	9	0	0	1	2
"GRMZM2G006246"	59	94	25	33	8	19	6	12	6	3	0	3
"GRMZM2G006252"	19	32	17	42	0	0	1	0	0	0	0	0
"GRMZM2G006277"	16	12	8	18	23	28	8	22	31	36	33	37
"GRMZM2G006280"	133	442	63	173	224	176	75	223	21	23	28	30
"GRMZM2G006282"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006284"	0	0	0	1	2	0	0	0	0	0	0	0
"GRMZM2G006287"	0	2	22	40	5	9	2	4	2	0	2	9
"GRMZM2G006290"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006293"	315	538	19	29	3	6	3	7	13	11	1	0
"GRMZM2G006297"	99	117	87	135	271	218	118	271	23	12	6	7
"GRMZM2G006310"	0	0	0	0	0	0	0	0	0	0	0	0
"GRMZM2G006313"	0	0	0	0	0	0	0	0	0	0	0	0
