""	"Li_2010.total.Section_1.1"	"Li_2010.total.Section_1.2"	"Li_2010.total.Section_4.1"	"Li_2010.total.Section_4.2"	"Li_2010.total.Section_9.1"	"Li_2010.total.Section_9.2"	"Li_2010.total.Section_14.1"	"Li_2010.total.Section_14.2"	"Li_2010.M.Section_14.1"	"Li_2010.M.Section_14.2"	"Li_2010.BS.Section_14.1"	"Li_2010.BS.Section_14.2"
"AC177831.3_FG004"	2	3	19	10	23	12	7	12	9	6	2	4
"AC177833.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177837.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177837.3_FG007"	1	4	1	2	2	4	4	8	0	0	0	0
"AC177837.3_FG012"	1	0	1	4	5	6	1	3	1	0	15	9
"AC177838.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG012"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG013"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG015"	4	1	1	1	2	4	2	5	0	0	0	0
"AC177838.2_FG017"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177838.2_FG018"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177840.3_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177840.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177844.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177845.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177846.2_FG001"	0	0	1	0	1	0	0	0	0	0	0	0
"AC177846.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177849.3_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177850.2_FG003"	1	0	0	0	1	0	0	0	0	0	0	0
"AC177850.2_FG005"	13	35	1	2	1	1	2	2	0	0	0	0
"AC177850.2_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177852.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177854.5_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177859.4_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177859.4_FG010"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177860.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177860.4_FG009"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177862.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177863.3_FG013"	5	10	1	1	0	1	0	0	0	0	0	0
"AC177863.3_FG014"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177867.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177868.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177871.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177873.3_FG003"	0	0	0	0	1	0	0	0	0	0	0	0
"AC177875.2_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177878.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177882.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177882.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177883.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177884.3_FG008"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177886.2_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177888.2_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177889.2_FG004"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177889.2_FG006"	0	1	0	0	0	0	1	2	0	0	0	0
"AC177890.3_FG005"	1	2	0	1	2	0	0	2	0	0	0	0
"AC177893.3_FG003"	0	0	0	0	0	0	1	0	0	0	0	0
"AC177893.3_FG005"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177893.3_FG006"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG002"	5	7	2	7	8	6	3	3	0	0	0	0
"AC177897.2_FG020"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG021"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG022"	15	11	0	0	0	1	0	0	0	0	0	0
"AC177897.2_FG025"	10	20	8	24	38	26	31	46	0	0	1	0
"AC177897.2_FG029"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177897.2_FG036"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177899.2_FG009"	3	8	1	4	4	2	4	4	0	0	0	0
"AC177899.2_FG012"	0	0	0	0	0	1	0	0	0	0	0	0
"AC177900.4_FG001"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177901.3_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177901.3_FG004"	0	0	0	0	0	0	0	1	0	0	0	0
"AC177902.2_FG003"	0	0	0	0	0	0	0	0	0	0	0	0
"AC177903.4_FG002"	0	0	0	0	0	0	0	0	0	0	0	0
