""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"GRMZM2G067081"	1	1	1	1	1
"GRMZM2G067096"	1	1	1	0.538140733033625	0.88887118739377
"GRMZM2G067098"	1	1	1	1	1
"GRMZM2G067110"	1	1	1	1	0.687938881213244
"GRMZM2G067114"	1	1	1	0.918195882854784	0.426099705793943
"GRMZM2G067117"	1	1	1	1	1
"GRMZM2G067122"	1	1	0.829212541831702	0.110252158505038	0.279920007001266
"GRMZM2G067150"	1	1	1	1	1
"GRMZM2G067151"	1	1	1	1	1
"GRMZM2G067156"	1	1	1	1	0.887029435072701
"GRMZM2G067158"	1	0.488307796693423	1	1	1
"GRMZM2G067162"	1	1	0.438773159733944	0.566585056476218	0.174640394294525
"GRMZM2G067163"	1	1	1	1	1
"GRMZM2G067168"	1	1	1	1	1
"GRMZM2G067171"	1	1	0.903339233309389	1	1
"GRMZM2G067176"	1	1	1	0.427309254979757	1
"GRMZM2G067183"	1	1	1	1	1
"GRMZM2G067198"	1	1	1	1	1
"GRMZM2G067205"	1	1	1	1	1
"GRMZM2G067223"	1	0.75597240985912	1	0.709608551884676	0.173475849336742
"GRMZM2G067225"	1	1	1	0.98324985524054	1
"GRMZM2G067231"	1	1	1	1	1
"GRMZM2G067235"	1	1	1	1	1
"GRMZM2G067238"	1	1	1	0.851883392138643	1
"GRMZM2G067240"	1	1	1	1	1
"GRMZM2G067242"	1	0.893023118158269	0.492359747273221	0.491460366949058	1
"GRMZM2G067256"	1	1	1	1	1
"GRMZM2G067257"	1	1	1	1	1
"GRMZM2G067262"	1	1	1	1	1
"GRMZM2G067265"	1	0.0221507346435462	0.00238217710080746	0.0113481604752533	0.0300826322439277
"GRMZM2G067277"	1	1	1	0.699484990397	1
"GRMZM2G067298"	1	1	0.963876341787282	1	0.86245205669618
"GRMZM2G067299"	0.249893354362702	1	1	0.379811975956363	1
"GRMZM2G067303"	1	0.0533239875890463	0.468915100181859	1	1
"GRMZM2G067306"	0.840004496765406	0.0431536813870458	0.221565018388914	1	1
"GRMZM2G067313"	0.529185800372488	0.319393731551025	0.047325936511635	0.421557686123799	0.229792903061198
"GRMZM2G067315"	0.415804039718465	0.00637546087153738	0.00385904789613325	1.74232643110686e-07	0.00606598034582944
"GRMZM2G067320"	1	1	1	1	1
"GRMZM2G067329"	1	1	1	1	1
"GRMZM2G067338"	1	1	1	1	1
"GRMZM2G067342"	1	1	1	1	1
"GRMZM2G067346"	1	1	1	1	1
"GRMZM2G067350"	0.00525290342916207	4.24146237824698e-05	8.49137191445767e-12	4.14494184277934e-12	3.03616378753201e-06
"GRMZM2G067361"	1	1	1	1	1
"GRMZM2G067370"	1	0.586310184447922	1	0.613114993704109	0.855961662269586
"GRMZM2G067371"	1	1	1	0.205326150813048	0.83512496185908
"GRMZM2G067373"	1	1	1	0.123961545073662	1
"GRMZM2G067376"	1	1	1	0.206810955196334	1
"GRMZM2G067379"	1	1	1	1	1
"GRMZM2G067382"	1	1	1	1	1
"GRMZM2G067386"	1	1	1	1	1
"GRMZM2G067388"	1	1	1	1	1
"GRMZM2G067400"	1	1	1	1	1
"GRMZM2G067402"	1	0.682442666033433	0.0493351429018763	9.62616365987661e-06	0.00301070062567518
"GRMZM2G067408"	1	1	1	1	1
"GRMZM2G067417"	0.615465322486629	0.000475596841863131	0.00451263283034898	0.00830249481836416	0.318949946194464
"GRMZM2G067419"	1	1	1	0.899779364105122	1
"GRMZM2G067421"	1	0.758591538938683	1	1	1
"GRMZM2G067424"	1	1	1	0.840982438127983	1
"GRMZM2G067426"	1	1	1	1	1
"GRMZM2G067431"	1	1	1	1	1
"GRMZM2G067436"	1	1	1	0.534980876498123	1
"GRMZM2G067448"	1	1	1	1	1
"GRMZM2G067450"	1	1	1	1	1
"GRMZM2G067456"	1	1	1	0.590423818113411	1
"GRMZM2G067460"	1	1	1	1	1
"GRMZM2G067462"	0.778489022328615	1	1	1	0.9668128976705
"GRMZM2G067463"	0.6092626346422	0.302008458401895	1	0.641948281990853	1
"GRMZM2G067469"	1	1	1	1	1
"GRMZM2G067476"	1	0.733692187513	1	1	1
"GRMZM2G067485"	1	1	0.857258038791799	0.849500757757036	1
"GRMZM2G067489"	1	1	1	1	1
"GRMZM2G067493"	1	1	1	1	1
"GRMZM2G067508"	1	1	1	1	1
"GRMZM2G067511"	1	1	1	0.95010923192397	1
"GRMZM2G067514"	1	1	1	1	1
"GRMZM2G067520"	1	1	1	0.494717730538127	1
"GRMZM2G067522"	1	0.643083232746292	0.409439393575261	0.435932263238875	1
"GRMZM2G067525"	1	1	1	1	1
"GRMZM2G067530"	1	1	1	0.94074459353827	0.0937686967908487
"GRMZM2G067540"	1	1	1	0.840982438127983	1
"GRMZM2G067546"	1	0.67769032797328	1	0.0742118086741718	1
"GRMZM2G067547"	1	1	1	1	1
"GRMZM2G067549"	1	1	1	1	1
"GRMZM2G067551"	1	1	1	1	1
"GRMZM2G067553"	1	1	1	1	1
"GRMZM2G067555"	1	1	0.0116449942515306	1	0.671410382802835
"GRMZM2G067562"	1	1	1	1	1
"GRMZM2G067563"	1	1	1	0.773740577702929	1
"GRMZM2G067575"	6.33243331561507e-10	1.52633317601429e-17	4.91978669351275e-21	1.67826856872205e-21	3.02838236338446e-16
"GRMZM2G067581"	1	1	1	0.0501036200129717	1
"GRMZM2G067583"	0.555041024452579	0.792744002220092	1	1	1
"GRMZM2G067587"	1	1	1	0.840982438127983	1
"GRMZM2G067589"	1	1	1	1	0.968057151606647
"GRMZM2G067591"	1	1	1	1	1
"GRMZM2G067600"	1	0.930299819417366	0.849549356334965	0.188211762065877	0.572287137829694
"GRMZM2G067601"	0.00438336268112074	0.00872941788588299	0.561823936397741	5.84482458711148e-05	1
"GRMZM2G067614"	1	1	1	1	1
"GRMZM2G067624"	1	0.399209395419866	0.822893180642033	0.901761267676745	1
"GRMZM2G067626"	1	1	1	1	1
"GRMZM2G067630"	1	1	1	1	1
"GRMZM2G067638"	1	1	1	0.00550734320815499	0.851585039238875
"GRMZM2G067640"	1	1	1	1	1
"GRMZM2G067642"	1	1	1	1	1
"GRMZM2G067646"	1	1	1	0.576132081406682	1
"GRMZM2G067648"	1	1	1	1	1
"GRMZM2G067654"	1	1	1	0.840982438127983	1
"GRMZM2G067675"	1	1	1	0.508271274646528	1
"GRMZM2G067688"	1	1	1	1	1
"GRMZM2G067691"	1	1	1	1	1
"GRMZM2G067702"	1	1	1	0.709248665583986	1
"GRMZM2G067707"	1	0.0147895220397716	0.0600692368182018	0.00507258251713024	0.241287313873921
"GRMZM2G067710"	1	1	1	1	1
"GRMZM2G067713"	0.00648034075752515	0.0875403968608862	0.152866512940127	0.252919981334651	0.356508162794517
"GRMZM2G067716"	1	1	1	1	1
"GRMZM2G067727"	1	1	1	1	1
"GRMZM2G067734"	1	1	1	0.133597584231734	0.102121506063216
"GRMZM2G067735"	1	1	1	0.840982438127983	1
"GRMZM2G067743"	0.408817693165784	1	1	0.531517479384281	1
"GRMZM2G067747"	0.900851674801863	1	0.783190205446508	1	0.48750576445529
"GRMZM2G067752"	1	1	1	1	1
"GRMZM2G067756"	1	0.911918662700723	1	0.482097437665305	1
"GRMZM2G067764"	1	1	1	0.431673273844927	0.00117549305250063
"GRMZM2G067767"	1	1	1	1	1
"GRMZM2G067781"	1	1	1	1	1
"GRMZM2G067786"	1	1	0.881351295392291	0.840982438127983	1
"GRMZM2G067789"	1	1	1	0.485527847828607	1
"GRMZM2G067808"	1	0.930299819417366	1	0.182589369659542	1
"GRMZM2G067812"	1	1	1	0.924648840523924	0.575539895106823
"GRMZM2G067830"	1	1	0.447616833779669	1	1
"GRMZM2G067833"	1	1	1	1	1
"GRMZM2G067845"	1	1	1	0.151851281494086	1
"GRMZM2G067849"	1	1	1	1	1
"GRMZM2G067853"	1	1	1	0.9069480997725	1
"GRMZM2G067864"	1	1	1	1	1
"GRMZM2G067865"	1	1	1	0.840982438127983	1
"GRMZM2G067877"	0.578194157668943	0.0188422144075108	6.15239515765856e-05	0.0269443876949107	0.0233343215959893
"GRMZM2G067883"	1	1	1	1	1
"GRMZM2G067886"	1	1	1	1	1
"GRMZM2G067889"	1	1	1	1	1
"GRMZM2G067899"	1	1	1	1	1
"GRMZM2G067904"	1	1	1	1	1
"GRMZM2G067908"	1	0.218841841902014	0.0129696707742322	4.600148694416e-05	0.0063889576111666
"GRMZM2G067910"	1	1	1	1	1
"GRMZM2G067915"	0.629609264315936	1	0.43252089038559	0.239115208445228	1
"GRMZM2G067919"	1	1	1	0.572538399040884	1
"GRMZM2G067921"	0.80872918571188	1	1	0.960702649709548	1
"GRMZM2G067929"	1	0.994943940409005	1	0.0449615581239387	0.812213263727815
"GRMZM2G067943"	0.170486258998025	1	1	1	1
"GRMZM2G067946"	0.506368719701805	0.00854131439527886	0.00715834858897446	0.0252547862239225	0.413733582097269
"GRMZM2G067964"	1	0.716056192072344	0.87652534170738	1	1
"GRMZM2G067972"	1	1	1	1	1
"GRMZM2G067974"	1	1	1	1	1
"GRMZM2G067984"	1	1	1	0.849500757757036	1
"GRMZM2G067985"	0.79939213501661	1	1	1	1
"GRMZM2G067989"	1	0.204060309638147	1	0.00741880206854588	1
"GRMZM2G067992"	1	0.939405329265206	0.621846502298805	0.0454262243239702	0.332267132902479
"GRMZM2G068006"	1	1	1	1	1
"GRMZM2G068008"	1	1	1	1	1
"GRMZM2G068010"	1	1	1	0.416819893841287	1
"GRMZM2G068011"	1	1	0.944714423216018	1	1
"GRMZM2G068024"	1	1	1	0.0479934465971451	1
"GRMZM2G068028"	1	1	0.851231381157627	0.625716154653118	1
"GRMZM2G068059"	1	1	1	1	0.960231915136365
"GRMZM2G068071"	1	1	1	1	1
"GRMZM2G068081"	1	1	1	1	1
"GRMZM2G068086"	1	0.549142103072448	0.42561295056057	1	1
"GRMZM2G068091"	1	1	1	1	1
"GRMZM2G068097"	1	1	1	1	1
"GRMZM2G068102"	1	1	1	1	1
"GRMZM2G068112"	1	1	1	0.77922752171501	1
"GRMZM2G068117"	1	1	1	1	1
"GRMZM2G068128"	1	1	1	1	1
"GRMZM2G068137"	1	1	1	1	1
"GRMZM2G068149"	1	0.763208451132515	0.3102142451521	0.095800960953176	0.106740460449997
"GRMZM2G068151"	1	1	1	0.509466259401032	1
"GRMZM2G068154"	1	1	1	0.349215198206041	1
"GRMZM2G068158"	1	1	1	0.775639319063304	1
"GRMZM2G068171"	1	1	1	1	1
"GRMZM2G068176"	1	1	1	1	1
"GRMZM2G068177"	1	1	1	0.0271397321490486	1
"GRMZM2G068179"	0.1961549471276	1	0.193508050616364	0.840982438127983	0.812213263727815
"GRMZM2G068192"	0.88605568973991	1	0.9843494755658	0.865682596769744	1
"GRMZM2G068193"	1	1	1	1	0.408119218455173
"GRMZM2G068202"	1	1	1	0.94873869556317	1
"GRMZM2G068212"	1	1	1	0.157256574787591	1
"GRMZM2G068217"	1	0.631840536109639	1	0.0284354696149324	0.931885930111378
"GRMZM2G068220"	0.896243489800102	0.00110154425067369	0.00332809580867239	0.0172190073718657	0.00568433656616478
"GRMZM2G068226"	0.88915196482242	1	1	1	1
"GRMZM2G068230"	1	1	1	1	1
"GRMZM2G068239"	0.569166833034798	1	1	0.173757187759142	0.955830920529591
"GRMZM2G068242"	1	1	1	1	1
"GRMZM2G068244"	1	1	1	1	0.70316795756552
"GRMZM2G068255"	1	0.92360253380834	1	0.466008101102406	1
"GRMZM2G068259"	1	1	1	1	1
"GRMZM2G068265"	1	1	1	1	0.264102680251661
"GRMZM2G068270"	1	1	1	1	1
"GRMZM2G068271"	1	1	1	1	0.729600442669395
"GRMZM2G068275"	1	1	1	1	1
"GRMZM2G068277"	1	1	1	1	1
"GRMZM2G068282"	1	1	1	1	1
"GRMZM2G068285"	1	1	1	1	1
"GRMZM2G068294"	1	1	1	0.0159008292443404	0.126880064024815
"GRMZM2G068316"	0.644076122587118	0.00133202247690594	0.000848357428409107	1.08536969791306e-05	0.0872654567621917
"GRMZM2G068322"	1	0.836695406181965	1	0.482903797560412	1
"GRMZM2G068323"	1	1	1	1	1
"GRMZM2G068328"	1	1	1	0.731202223815787	1
"GRMZM2G068330"	1	0.675477951746221	1	1	0.849794974238117
"GRMZM2G068331"	1	1	1	0.417348783463146	1
"GRMZM2G068336"	1	1	1	1	1
"GRMZM2G068340"	1	0.965023880935524	1	0.156679350980457	1
"GRMZM2G068350"	0.49480730952873	1	1	1	1
"GRMZM2G068352"	1	0.926359811027669	0.990022163958354	0.615004124957928	0.976219427767733
"GRMZM2G068361"	1	1	1	1	1
"GRMZM2G068382"	0.207181376110309	0.0765133772683567	0.101470200380977	1	1
"GRMZM2G068392"	1	1	1	0.905482980845279	1
"GRMZM2G068398"	1	0.307854308989451	0.184073591024543	0.527089603737372	1
"GRMZM2G068436"	1	0.35372826746479	0.711520579954585	0.784413573926177	0.947759071909579
"GRMZM2G068443"	1	1	0.833768270041388	1	1
"GRMZM2G068455"	1	0.547908219467038	0.342753179977502	0.360591194598055	1
"GRMZM2G068465"	1	1	1	1	0.23026363700436
"GRMZM2G068467"	1	1	1	1	1
"GRMZM2G068471"	1	1	0.468198460481623	0.36010836641302	1
"GRMZM2G068476"	1	1	1	0.139299902138536	1
"GRMZM2G068479"	1	1	1	0.592864226696347	1
"GRMZM2G068489"	1	1	1	1	1
"GRMZM2G068494"	1	1	1	0.536001402858336	1
"GRMZM2G068496"	1	1	1	1	0.85305938986274
"GRMZM2G068506"	1	0.754199966184788	0.00323465154838951	0.484445597410587	0.0434698240485984
"GRMZM2G068507"	1	1	1	1	1
"GRMZM2G068510"	1	1	1	1	1
"GRMZM2G068513"	1	1	1	1	1
"GRMZM2G068519"	1	1	1	1	1
"GRMZM2G068525"	1	1	1	1	1
"GRMZM2G068527"	1	1	1	1	1
"GRMZM2G068531"	1	1	1	1	1
"GRMZM2G068547"	1	1	1	1	1
"GRMZM2G068557"	1	0.993432868911904	1	0.500229398462849	1
"GRMZM2G068566"	1	1	1	0.380895476357956	0.024667873129388
"GRMZM2G068575"	1	0.306862281379136	1	0.260533394699455	1
"GRMZM2G068577"	0.684540665759846	1	1	0.840982438127983	1
"GRMZM2G068579"	1	1	1	1	1
"GRMZM2G068586"	1	1	1	1	1
"GRMZM2G068590"	1	1	1	0.618614351372316	0.971206230790306
"GRMZM2G068604"	1	1	0.707831681921781	0.916365093565006	1
"GRMZM2G068613"	1	1	1	1	1
"GRMZM2G068625"	1	1	1	0.393755262541626	0.0346422485557164
"GRMZM2G068639"	1	0.892863641485865	0.528148666964842	0.310498089696394	0.246275511212764
"GRMZM2G068647"	1	1	1	1	1
"GRMZM2G068657"	1	1	0.649294944911427	1	1
"GRMZM2G068665"	1	0.939405329265206	1	1	1
"GRMZM2G068672"	1	1	0.284723196087657	0.425884297100114	0.597748151145626
"GRMZM2G068682"	1	1	1	1	1
"GRMZM2G068688"	1	1	1	1	1
"GRMZM2G068690"	1	1	1	0.29919041975311	1
"GRMZM2G068697"	1	1	1	1	1
"GRMZM2G068699"	1	1	1	1	1
"GRMZM2G068701"	1	1	1	0.275656084532525	0.895582419371275
"GRMZM2G068703"	1	1	1	0.778765542699026	1
"GRMZM2G068707"	1	1	1	1	1
"GRMZM2G068710"	0.906206200969286	1	1	0.768622317893367	1
"GRMZM2G068714"	1	1	0.9843494755658	0.0657668496075881	0.423163647544689
"GRMZM2G068715"	1	1	1	1	1
"GRMZM2G068717"	1	1	1	1	1
"GRMZM2G068745"	1	1	1	0.851883392138643	1
"GRMZM2G068755"	1	1	1	0.516717061902104	1
"GRMZM2G068763"	1	1	1	1	1
"GRMZM2G068778"	1	1	1	1	1
"GRMZM2G068789"	1	1	1	1	1
"GRMZM2G068808"	1	1	1	0.659268183017404	1
"GRMZM2G068815"	1	1	1	1	1
"GRMZM2G068826"	1	1	1	0.840982438127983	1
"GRMZM2G068854"	1	0.796419617232085	1	0.840982438127983	1
"GRMZM2G068862"	1	1	0.976224630788283	0.851883392138643	1
"GRMZM2G068868"	1	1	1	1	0.75779324278232
"GRMZM2G068874"	1	1	1	1	1
"GRMZM2G068900"	1	1	1	1	1
"GRMZM2G068904"	1.40446442694801e-05	7.74848749362666e-07	0.000107397480211664	0.00271295078871113	0.247235891197326
"GRMZM2G068913"	1	1	0.690841891498285	0.79126797249599	0.0640815880701083
"GRMZM2G068916"	1	1	1	1	1
"GRMZM2G068917"	0.966366071971841	1	1	1	1
"GRMZM2G068919"	1	1	1	1	1
"GRMZM2G068921"	1	0.769041691607553	1	0.00206386565788938	0.671639937326706
"GRMZM2G068936"	1	1	0.744283221485449	0.840982438127983	1
"GRMZM2G068943"	0.000218969538449662	1.43735421794833e-08	2.71629294288285e-17	1.00607821459544e-12	2.45879978731307e-12
"GRMZM2G068947"	0.893936098283404	1	1	1	1
"GRMZM2G068952"	1	0.364078897529081	0.0319301543124741	1	1
"GRMZM2G068955"	0.00340575108076574	0.000699563530127574	0.00133773407296976	0.00300951302312847	0.0418663233665888
"GRMZM2G068959"	1	1	1	0.22076520227232	0.434676018544355
"GRMZM2G068963"	1	1	1	0.327827190331563	1
"GRMZM2G068967"	1	1	1	0.359049358720067	1
"GRMZM2G068973"	1	0.291757528372575	0.328116151307388	3.63329827704304e-05	0.00135689751022093
"GRMZM2G068979"	1	1	1	0.943441119966294	0.833097900152862
"GRMZM2G068982"	1	1	1	0.528757919462406	0.735687610120587
"GRMZM2G068984"	1	1	1	1	1
"GRMZM2G068989"	1	1	1	1	1
"GRMZM2G069005"	0.789150353960698	1	1	1	1
"GRMZM2G069008"	1	1	1	1	1
"GRMZM2G069009"	1	1	0.597829373971797	1	0.560019764902495
"GRMZM2G069016"	1	1	1	1	1
"GRMZM2G069018"	1	1	1	1	1
"GRMZM2G069024"	1	0.223347355996673	0.384956527907614	0.000422186876383653	0.119439355747735
"GRMZM2G069025"	1	1	1	0.613723910016989	1
"GRMZM2G069028"	1	1	1	1	1
"GRMZM2G069047"	1	0.442253492975704	1	1	0.962691675219652
"GRMZM2G069061"	1	0.0285322924834577	0.073663145938589	0.000643639382466233	0.0521290003004101
"GRMZM2G069070"	1	0.956758257126929	1	1	1
"GRMZM2G069078"	1	0.833984420354302	1	1	1
"GRMZM2G069082"	1	0.980627116346075	1	1	0.237570570079233
"GRMZM2G069085"	1	1	1	1	1
"GRMZM2G069092"	1	1	1	0.600494666397827	0.249281938302668
"GRMZM2G069093"	1	1	1	1	1
"GRMZM2G069095"	1	0.627715782992457	1	0.170303223907474	1
"GRMZM2G069098"	1	1	1	0.211203336495305	0.161231383097746
"GRMZM2G069099"	1	1	1	0.353880271187408	1
"GRMZM2G069102"	1	1	1	1	1
"GRMZM2G069106"	1	1	1	0.506460101269699	1
"GRMZM2G069110"	1	1	1	1	1
"GRMZM2G069122"	1	1	0.866871451488417	1	0.61317080674773
"GRMZM2G069126"	1	1	1	0.680187752023263	1
"GRMZM2G069127"	1	1	1	0.840982438127983	1
"GRMZM2G069137"	1	0.726105081201347	1	1	1
"GRMZM2G069141"	1	1	1	0.840982438127983	1
"GRMZM2G069143"	1	1	1	1	1
"GRMZM2G069146"	1	0.75619077758686	1	1	0.852801231931312
"GRMZM2G069147"	1	0.153214221026237	1	0.205317086228702	1
"GRMZM2G069153"	1	1	1	1	1
"GRMZM2G069162"	1	1	0.93073182345773	1	1
"GRMZM2G069169"	1	1	1	1	1
"GRMZM2G069174"	1	0.350504596701068	0.0161816129135707	0.840982438127983	0.76130866552295
"GRMZM2G069176"	1	1	1	0.851883392138643	1
"GRMZM2G069177"	1	0.726736119931194	1	0.503809496632787	1
"GRMZM2G069180"	1	1	1	1	1
"GRMZM2G069195"	1	1	0.169930179524336	2.17791271191713e-05	0.0630300659790064
"GRMZM2G069198"	1	1	0.0743107573263177	0.18286380394113	0.00146714413994517
"GRMZM2G069200"	1	1	1	1	1
"GRMZM2G069201"	1	1	1	1	1
"GRMZM2G069203"	1	1	1	0.600792838303724	0.733082814025685
"GRMZM2G069208"	1	1	1	1	1
"GRMZM2G069215"	1	0.14913092274984	1	0.233508506945302	0.868569116798793
"GRMZM2G069218"	1	1	0.790657456720382	1	0.721006565185276
"GRMZM2G069229"	1	1	1	0.335761655368462	1
"GRMZM2G069237"	1	1	0.643376403996665	0.12517305800393	0.232206925321386
"GRMZM2G069251"	1	1	1	1	0.527181583470015
"GRMZM2G069254"	1	1	1	1	1
"GRMZM2G069260"	0.243262313634135	0.418524090273394	0.0251813036847186	1	1
"GRMZM2G069264"	1	1	1	1	1
"GRMZM2G069274"	1	1	1	1	1
"GRMZM2G069278"	1	1	1	1	1
"GRMZM2G069284"	1	1	1	1	1
"GRMZM2G069295"	1	1	1	0.228132514438117	1
"GRMZM2G069298"	0.328332817409558	1	1	0.111254729804168	1
"GRMZM2G069302"	1	1	1	1	1
"GRMZM2G069310"	1	1	1	1	1
"GRMZM2G069316"	0.771205481304263	0.00181683764752354	0.517767589190249	0.403994528265999	1
"GRMZM2G069317"	1	1	1	1	1
"GRMZM2G069320"	1	1	1	1	1
"GRMZM2G069322"	1	1	1	1	1
"GRMZM2G069325"	1	0.23212049200832	1	1	1
"GRMZM2G069332"	1	1	1	1	1
"GRMZM2G069335"	1	1	1	0.492531064186164	1
"GRMZM2G069357"	1	1	1	1	1
"GRMZM2G069365"	1	1	1	0.185449204879995	1
"GRMZM2G069368"	1	1	1	0.54385215504203	1
"GRMZM2G069370"	0.349735911501013	0.0872525945540764	0.109374744778335	0.00532527103686942	0.931885930111378
"GRMZM2G069382"	1	1	1	1	1
"GRMZM2G069389"	1	1	1	1	1
"GRMZM2G069401"	0.990005860742399	1	0.918755038290837	1	1
"GRMZM2G069405"	0.44371975441104	1	0.507817201098044	1	1
"GRMZM2G069408"	1	1	1	0.50287755462608	1
"GRMZM2G069410"	1	1	1	0.502246941690907	1
"GRMZM2G069422"	0.907423121636373	0.982759405978859	1	1	1
"GRMZM2G069427"	1	0.288760810498113	1	0.726301095371848	1
"GRMZM2G069444"	1	1	1	1	1
"GRMZM2G069448"	1	1	1	1	1
"GRMZM2G069454"	1	1	0.997008748774345	1	1
"GRMZM2G069455"	0.886902897159616	1	1	1	1
"GRMZM2G069458"	0.76093702055682	1	0.104029871828871	0.855422116131932	0.452711959781872
"GRMZM2G069462"	1	1	1	1	1
"GRMZM2G069467"	1	1	1	1	1
"GRMZM2G069476"	1	1	1	0.322772221293085	1
"GRMZM2G069480"	1	1	1	1	1
"GRMZM2G069486"	1	1	1	0.562462838909593	1
"GRMZM2G069494"	1	1	1	0.840982438127983	0.885161567509591
"GRMZM2G069495"	1	1	1	1	1
"GRMZM2G069500"	0.66526730319394	1	1	0.576040023493743	1
"GRMZM2G069503"	0.000987808905284676	1	1	0.717856383780424	0.918605873906592
"GRMZM2G069511"	1	1	1	1	1
"GRMZM2G069515"	1	1	1	1	1
"GRMZM2G069518"	1	1	1	1	1
"GRMZM2G069523"	1	1	1	1	1
"GRMZM2G069525"	1	1	1	0.723425459658663	1
"GRMZM2G069528"	1	1	1	1	1
"GRMZM2G069542"	1	1	1	1	1
"GRMZM2G069546"	1	1	1	1	1
"GRMZM2G069551"	1	1	1	1	1
"GRMZM2G069556"	1	1	1	1	1
"GRMZM2G069568"	1	1	1	1	1
"GRMZM2G069569"	1	0.231503976790227	0.0676399054188025	0.000591320648057713	0.00664040834020323
"GRMZM2G069594"	1	0.0819372883041717	0.104402749174332	1	1
"GRMZM2G069596"	1	0.924905640057272	0.581419979632892	0.588395916142388	0.816902847465395
"GRMZM2G069602"	1	1	1	0.308603945742773	1
"GRMZM2G069603"	1	1	1	1	1
"GRMZM2G069606"	1	1	0.952892099378319	1	1
"GRMZM2G069618"	1	1	1	1	1
"GRMZM2G069630"	1	1	1	1	1
"GRMZM2G069631"	1	1	1	0.705552936352792	1
"GRMZM2G069649"	1	1	1	1	0.699897110337716
"GRMZM2G069651"	1	1	1	1	1
"GRMZM2G069656"	1	1	0.967025999022342	1	1
"GRMZM2G069664"	1	1	0.524191626674186	0.840982438127983	1
"GRMZM2G069670"	1	1	0.760573329533226	1	1
"GRMZM2G069672"	1	1	1	1	1
"GRMZM2G069673"	1	1	1	1	0.34816859999819
"GRMZM2G069676"	0.653283363635425	1	0.532824363049244	1	1
"GRMZM2G069678"	1	1	0.996410463099066	1	1
"GRMZM2G069679"	1	1	1	1	1
"GRMZM2G069681"	1	1	1	1	1
"GRMZM2G069687"	1	1	1	0.630713188675632	0.911882507737436
"GRMZM2G069694"	1	1	1	1	1
"GRMZM2G069698"	1	1	1	1	1
"GRMZM2G069708"	1	0.996160881337432	0.915451419494995	0.109738365627507	0.375294859564502
"GRMZM2G069713"	1	0.436468024893879	1	0.000650803191383879	0.229792903061198
"GRMZM2G069722"	0.128799748386825	1	0.28284166065606	0.739260394360039	0.383079178263806
"GRMZM2G069726"	1	1	1	0.963840530074945	0.830239332973312
"GRMZM2G069731"	1	1	1	1	1
"GRMZM2G069736"	0.434475380585582	1	0.956600446340391	0.0612110941010922	1
"GRMZM2G069737"	1	1	1	1	1
"GRMZM2G069752"	1	1	1	1	1
"GRMZM2G069758"	0.873763928019443	1	1	1	1
"GRMZM2G069762"	0.873763928019443	0.00835370082668077	0.0304690101849957	0.521528919282841	1
"GRMZM2G069765"	1	1	1	0.578489692852788	1
"GRMZM2G069772"	1	1	0.920333869452998	1	1
"GRMZM2G069773"	1	0.528509259505721	1	0.371124427888983	0.69631333198369
"GRMZM2G069775"	1	1	1	1	1
"GRMZM2G069784"	1	1	1	1	1
"GRMZM2G069785"	1	1	1	1	1
"GRMZM2G069796"	1	1	1	0.0512707760000206	1
"GRMZM2G069801"	1	1	1	1	1
"GRMZM2G069807"	1	5.73088996241779e-06	0.000211559910808589	3.72524202258757e-11	1.64285684703911e-05
"GRMZM2G069816"	1	0.784647055167676	0.858499270392062	0.690789998830158	1
"GRMZM2G069820"	1	1	1	1	1
"GRMZM2G069827"	1	1	0.988884176111956	1	1
"GRMZM2G069830"	1	1	1	1	1
"GRMZM2G069848"	1	1	1	1	1
"GRMZM2G069856"	1	1	1	0.433741156978996	1
"GRMZM2G069863"	1	1	1	0.524672194832029	1
"GRMZM2G069865"	1	0.849842523266858	1	0.0930885443955521	1
"GRMZM2G069870"	1	1	1	1	1
"GRMZM2G069880"	1	1	1	1	1
"GRMZM2G069886"	1	1	1	0.453939873483332	1
"GRMZM2G069892"	1	1	1	1	1
"GRMZM2G069905"	1	1	1	1	1
"GRMZM2G069911"	0.440608988551196	0.000735629633011649	0.0127534388868278	4.30555451134558e-06	0.0400152044088734
"GRMZM2G069914"	1	1	1	1	1
"GRMZM2G069916"	1	0.487801588676773	1	0.179140245057372	1
"GRMZM2G069922"	1	0.606216411865371	0.0035409049494444	0.00852605163887261	0.0195108656448191
"GRMZM2G069923"	0.334806387771875	0.0945315280631394	0.512155231720605	1	0.666758811002954
"GRMZM2G069925"	1	1	1	0.849500757757036	1
"GRMZM2G069928"	1	0.939618353456974	1	0.352111761152507	1
"GRMZM2G069932"	1	1	1	1	1
"GRMZM2G069935"	1	1	1	1	1
"GRMZM2G069938"	1	1	1	1	1
"GRMZM2G069946"	1	1	1	0.840982438127983	1
"GRMZM2G069968"	1	1	1	1	1
"GRMZM2G069970"	1	1	1	0.636156323729206	1
"GRMZM2G069976"	1	1	1	0.671282540446664	1
"GRMZM2G069979"	1	1	1	1	1
"GRMZM2G069990"	1	1	1	1	1
"GRMZM2G070010"	1	1	1	1	1
"GRMZM2G070011"	0.00184421587352241	9.45647069370564e-15	4.95749418282877e-16	9.33546574052439e-17	4.7574035716749e-11
"GRMZM2G070013"	0.00886138294454943	1	1	0.137036523147909	1
