""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC177863.3_FG014"	1	1	1	1	1
"AC177867.2_FG001"	1	1	1	1	1
"AC177868.3_FG005"	1	1	1	1	1
"AC177871.2_FG004"	1	1	1	1	1
"AC177873.3_FG003"	1	1	1	0.840982438127983	0.816491765589923
"AC177875.2_FG005"	1	1	1	1	1
"AC177878.4_FG002"	1	1	1	1	1
"AC177882.3_FG005"	1	1	1	1	1
"AC177882.3_FG006"	1	1	1	1	1
"AC177883.2_FG003"	1	1	1	1	1
"AC177884.3_FG008"	1	1	1	1	1
"AC177886.2_FG001"	1	1	1	1	1
"AC177888.2_FG002"	1	1	1	1	1
"AC177889.2_FG004"	1	1	1	1	1
"AC177889.2_FG006"	1	0.501043764045654	1	1	1
"AC177890.3_FG005"	1	1	1	1	1
"AC177893.3_FG003"	1	1	1	1	1
"AC177893.3_FG005"	1	1	1	1	1
"AC177893.3_FG006"	1	1	1	1	1
"AC177897.2_FG002"	1	0.681091048998178	0.264579908727085	0.211839229917689	1
"AC177897.2_FG020"	1	1	1	1	1
"AC177897.2_FG021"	1	1	1	0.840982438127983	1
"AC177897.2_FG022"	1	1	1	1	1
"AC177897.2_FG025"	1	1	1	1	1
"AC177897.2_FG029"	1	1	1	1	1
"AC177897.2_FG036"	1	1	1	1	1
"AC177899.2_FG009"	1	1	1	1	1
"AC177899.2_FG012"	1	1	1	1	1
"AC177900.4_FG001"	1	1	1	1	1
"AC177901.3_FG002"	1	1	1	1	1
"AC177901.3_FG004"	1	1	1	1	1
"AC177902.2_FG003"	1	1	1	1	1
"AC177903.4_FG002"	1	1	1	1	1
"AC177905.2_FG001"	1	1	1	1	1
"AC177905.2_FG003"	1	1	1	1	1
"AC177905.2_FG007"	1	1	1	0.840982438127983	1
"AC177907.4_FG006"	1	1	1	0.0614896043390743	1
"AC177908.3_FG002"	1	1	1	0.812633997559031	1
"AC177908.3_FG003"	1	1	1	1	1
"AC177908.3_FG006"	1	1	1	1	1
"AC177909.3_FG007"	1	1	1	1	1
"AC177910.2_FG004"	1	1	1	1	1
"AC177911.4_FG005"	1	1	1	1	1
"AC177913.4_FG002"	1	1	1	1	1
"AC177914.2_FG004"	1	1	1	1	1
"AC177915.2_FG022"	1	1	1	1	1
"AC177917.1_FG005"	1	1	1	1	1
"AC177919.3_FG004"	0.82086172895375	1	1	0.496734997027806	1
"AC177920.3_FG008"	1	1	1	1	1
"AC177922.2_FG001"	1	1	1	0.40620895887091	0.866320910453384
"AC177922.2_FG002"	1	1	1	1	1
"AC177922.2_FG003"	1	1	1	1	1
"AC177924.2_FG001"	1	1	1	1	1
"AC177924.2_FG003"	0.389200086000416	2.75749427892157e-07	2.10083832373976e-06	1.30384671159282e-08	0.000212021862481933
