""	"LMD_S14.vs.total_S14"
"AC182105.3_FG001"	1
"AC182105.3_FG005"	1
"AC182105.3_FG006"	1
"AC182110.4_FG002"	1
"AC182413.4_FG002"	1
"AC182413.4_FG012"	1
"AC182414.3_FG001"	0.475669963112844
"AC182414.3_FG003"	1
"AC182415.4_FG001"	1
"AC182417.4_FG004"	1
"AC182420.4_FG001"	1
"AC182439.4_FG004"	1
"AC182440.4_FG002"	1
"AC182440.4_FG003"	1
"AC182481.3_FG003"	1
"AC182482.3_FG003"	0.550111035694962
"AC182603.4_FG003"	0.414132168405146
"AC182606.4_FG001"	1
"AC182606.4_FG002"	1
"AC182608.4_FG001"	1
"AC182611.4_FG004"	1
"AC182615.4_FG001"	1
"AC182615.4_FG002"	1
"AC182615.4_FG003"	1
"AC182617.3_FG001"	0.00221006447382335
"AC182618.3_FG001"	1
"AC182622.3_FG004"	1
"AC182622.3_FG005"	1
"AC182623.3_FG004"	1
"AC182627.2_FG003"	1
"AC182819.4_FG002"	1
"AC182819.4_FG003"	1
"AC182823.3_FG007"	1
"AC182824.4_FG001"	1
"AC182826.4_FG003"	1
"AC182830.3_FG003"	1
"AC182830.3_FG004"	1
"AC182831.3_FG004"	1
"AC182833.3_FG013"	1
"AC182833.3_FG014"	1
"AC182835.3_FG004"	1
"AC182838.3_FG006"	1
"AC183307.5_FG001"	0.697603894350517
"AC183314.3_FG001"	1
"AC183314.3_FG007"	1
"AC183315.4_FG006"	0.0204448864323165
"AC183318.3_FG001"	0.0777724536020631
"AC183319.3_FG001"	1
"AC183372.4_FG006"	1
"AC183372.4_FG008"	1
"AC183412.5_FG005"	0.731526141194842
"AC183413.3_FG006"	1
"AC183503.2_FG001"	1
"AC183503.2_FG002"	1
"AC183503.2_FG003"	1
"AC183504.4_FG003"	0.697603894350517
"AC183509.1_FG001"	0.581951470127063
"AC183509.1_FG002"	1
"AC183510.4_FG001"	1
"AC183511.4_FG003"	1
"AC183514.3_FG005"	1
"AC183514.3_FG006"	1
"AC183518.2_FG001"	0.697603894350517
"AC183521.2_FG006"	0.414132168405146
"AC183590.4_FG001"	1
"AC183590.4_FG003"	1
"AC183591.3_FG003"	1
"AC183656.2_FG005"	1
"AC183657.2_FG001"	1
"AC183659.4_FG005"	1
"AC183659.4_FG006"	1
"AC183661.3_FG004"	1
"AC183757.3_FG001"	1
"AC183758.4_FG005"	1
"AC183758.4_FG006"	1
"AC183758.4_FG007"	1
"AC183782.3_FG002"	1
"AC183783.4_FG004"	1
"AC183788.3_FG002"	1
"AC183811.3_FG003"	1
"AC183815.4_FG004"	1
"AC183817.2_FG002"	1
"AC183818.2_FG001"	1
"AC183820.4_FG002"	1
"AC183822.3_FG001"	0.731526141194842
